Nombre,Acción,Beneficio,Como,Criterios de Aceptación,Epic,Estado de Revisión,ID,MoSCoW,Observaciones,Para,Puntos Fibonacci,Quiero,Req IDs,Requisitos Derivados,Responsable,Rol (Como ...),US ID
VIS-011: Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo,Quiero visualizar la ruta de aislamiento de energía (LOTO) sobre el modelo 3D y que el sistema bloquee el inicio del trabajo si detecta energía activa.,"Para asegurar que la intervención se realice bajo condiciones de Energía Cero, previniendo accidentes laborales.",Técnico de Mantenimiento,"Visualización de Puntos de Corte (https://www.notion.so/Visualizaci-n-de-Puntos-de-Corte-31687c56a828805c9bb0ef5d06fa1683?pvs=21), Validación de Conexión (https://www.notion.so/Validaci-n-de-Conexi-n-31687c56a8288098993cff15d12dca30?pvs=21), Bloqueo de Inicio por Energía Detectada (https://www.notion.so/Bloqueo-de-Inicio-por-Energ-a-Detectada-31687c56a828801f8f10dc1ff0325f68?pvs=21), Validación de Energía Cero (https://www.notion.so/Validaci-n-de-Energ-a-Cero-31687c56a82880769302d810f60a49f3?pvs=21), Bloqueo por Pérdida de Telemetría (Fail-Safe) (https://www.notion.so/Bloqueo-por-P-rdida-de-Telemetr-a-Fail-Safe-31687c56a828803eba86e5011d739f27?pvs=21)",VIS,Aprobada,11,MUST,"Esta funcionalidad constituye el diferenciador tecnológico clave del Gemelo Digital, integrando visualización 3D avanzada con lógica de seguridad crítica en tiempo real (Energía Cero). El sistema combina la trazabilidad gráfica de puntos de aislamiento (Lockout/Tagout) con un mecanismo de bloqueo activo por software que consume telemetría IoT, garantizando que el inicio de cualquier intervención cumpla rigurosamente con los protocolos de seguridad industrial más exigentes.","Para asegurar que la intervención se realice bajo condiciones de Energía Cero, previniendo accidentes laborales.",13,Quiero visualizar la ruta de aislamiento de energía (LOTO) sobre el modelo 3D y que el sistema bloquee el inicio del trabajo si detecta energía activa.,,,Marialuisa Alzate,Técnico de Mantenimiento (https://www.notion.so/T-cnico-de-Mantenimiento-2ce87c56a828804db57fd6c417865e7d?pvs=21),VIS-011
VIS-012: Configuración de Jerarquía de Componentes 3D,Quiero definir la jerarquía de componentes de un activo (ej. Bomba $\to$ Motor $\to$ Rodamiento) y asociar un modelo 3D a cada nivel,Para construir la vista explosionada del Gemelo Digital y permitir que los técnicos accedan a la información del componente específico en campo.,Ingeniero de Proyectos,"Crear un sub-componente (https://www.notion.so/Crear-un-sub-componente-31687c56a8288084a67ac052741fa6c5?pvs=21), Asociar un modelo 3D a un componente (https://www.notion.so/Asociar-un-modelo-3D-a-un-componente-31687c56a82880f3b5c2f95bb262d03e?pvs=21), Navegación jerárquica (https://www.notion.so/Navegaci-n-jer-rquica-31687c56a82880388d5ec71cdfea1b33?pvs=21), Intento de crear un componente duplicado (https://www.notion.so/Intento-de-crear-un-componente-duplicado-31687c56a82880598fdfe1859720299c?pvs=21), Mover componente en el árbol (Re-parenting) (https://www.notion.so/Mover-componente-en-el-rbol-Re-parenting-31687c56a828800f868fd22684de551e?pvs=21)",VIS,Aprobada,12,COULD,"Esta herramienta administrativa permite la configuración granular de la jerarquía de activos, facilitando la construcción del Gemelo Digital multinivel. Arquitectónicamente, se sugiere seguir el patrón Sidecar para el almacenamiento pesado (modelos 3D en almacenamiento de blob/objetos y metadatos en backend central), garantizando alta escalabilidad. Aunque el MVP operará con una estructura simplificada, esta funcionalidad asegura la viabilidad a futuro.",Para construir la vista explosionada del Gemelo Digital y permitir que los técnicos accedan a la información del componente específico en campo.,5,Quiero definir la jerarquía de componentes de un activo (ej. Bomba $\to$ Motor $\to$ Rodamiento) y asociar un modelo 3D a cada nivel,,,Marialuisa Alzate,Ingeniero de Proyectos (https://www.notion.so/Ingeniero-de-Proyectos-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),VIS-012
ADM-013: Gestión de Roles y Matriz de Permisos (RBAC Industrial),"Quiero definir roles de usuario con una matriz de permisos granular (Crear, Editar, Eliminar, Aprobar, Cerrar, Auditar)",Para garantizar la segregación de funciones requerida por ISO 55001 y evitar que un mismo usuario solicite y apruebe acciones críticas.,Administrador del Sistema,"Definición de un Rol Personalizado (https://www.notion.so/Definici-n-de-un-Rol-Personalizado-31687c56a82880f7975cc5d742ad44cf?pvs=21), Granularidad de Acciones (Verbos) (https://www.notion.so/Granularidad-de-Acciones-Verbos-31687c56a82880ada31dc332b58fe280?pvs=21), Protección de Roles del Sistema (https://www.notion.so/Protecci-n-de-Roles-del-Sistema-31687c56a828808da0b7d8922bc5df46?pvs=21)",ADM,Aprobada,13,MUST,"Esta funcionalidad es fundamental para la seguridad del sistema y el cumplimiento de la norma ISO 55001 (5.3), la cual exige que la autoridad y responsabilidad estén explícitamente definidas. En esta fase se implementarán los roles base (Administrador, Planificador, Técnico y Auditor) con una matriz de permisos granular que asegure la segregación de funciones (SoD) y el principio de menor privilegio.",Para garantizar la segregación de funciones requerida por ISO 55001 y evitar que un mismo usuario solicite y apruebe acciones críticas.,5,"Quiero definir roles de usuario con una matriz de permisos granular (Crear, Editar, Eliminar, Aprobar, Cerrar, Auditar)",,,juan david julio serrano,Administrador del Sistema (https://www.notion.so/Administrador-del-Sistema-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-013
ADM-014: Gestión de Usuarios y Ciclo de Vida Seguro,"Quiero gestionar el ciclo de vida completo de los usuarios (Crear, Suspender, Restaurar, Resetear Contraseña) de forma segura y auditable",Para proteger el acceso al Gemelo Digital y garantizar la trazabilidad de las acciones realizadas por exempleados.,Administrador del Sistema,"Desactivación Segura (Soft-Delete) (https://www.notion.so/Desactivaci-n-Segura-Soft-Delete-31687c56a828809593ecfe6f0092155b?pvs=21), Bloqueo por Intentos Fallidos (Brute Force Protection) (https://www.notion.so/Bloqueo-por-Intentos-Fallidos-Brute-Force-Protection-31687c56a8288011b213cb55382c6cf0?pvs=21), Recuperación de Contraseña (Self-Service) (https://www.notion.so/Recuperaci-n-de-Contrase-a-Self-Service-31687c56a8288014a638e5a802676385?pvs=21)",ADM,Aprobada,14,MUST,"Garantizar un acceso seguro es el primer paso para la integridad del sistema. Siguiendo la norma ISO 55001 (7.2), se gestionará el ciclo de vida completo de los usuarios incluyendo políticas anti-fuerza bruta y recuperación segura de contraseñas. La política de eliminación lógica (soft-delete) es mandatoria para preservar el historial completo de la auditoría.",Para proteger el acceso al Gemelo Digital y garantizar la trazabilidad de las acciones realizadas por exempleados.,3,"Quiero gestionar el ciclo de vida completo de los usuarios (Crear, Suspender, Restaurar, Resetear Contraseña) de forma segura y auditable",,,juan david julio serrano,Administrador del Sistema (https://www.notion.so/Administrador-del-Sistema-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-014
ADM-015: Configuración de Integración ERP (Simulación),Quiero configurar la conexión API con una instancia simulada de ERP (Mock Server u Odoo),Para demostrar la sincronización automática de datos de inventario y asegurar que las requisiciones técnicas disparadas por la condición del activo se conviertan correctamente en procesos de compra financieros en el ERP.,Administrador del Sistema,"Prueba de conexión API exitosa (https://www.notion.so/Prueba-de-conexi-n-API-exitosa-31687c56a828808a8fefeed127eacd5a?pvs=21), Prueba de conexión API fallida (https://www.notion.so/Prueba-de-conexi-n-API-fallida-31687c56a82880b793bfedbd118b6aeb?pvs=21)",ADM,Aprobada,15,COULD,"Para validar la arquitectura de interoperabilidad industrial bajo estándares MIMOSA (OSA-EAI), se implementará una simulación funcional usando un servidor de pruebas o una instancia de código abierto. Esto permitirá demostrar la capacidad del sistema para sincronizar datos de inventario con plataformas externas de forma segura y escalable.",Para demostrar la sincronización automática de datos de inventario y asegurar que las requisiciones técnicas disparadas por la condición del activo se conviertan correctamente en procesos de compra financieros en el ERP.,8,Quiero configurar la conexión API con una instancia simulada de ERP (Mock Server u Odoo),,,juan david julio serrano,Administrador del Sistema (https://www.notion.so/Administrador-del-Sistema-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-015
ADM-016: Publicación de Anuncios del Sistema,Quiero publicar un anuncio global o por rol,Para comunicar a los usuarios sobre ventanas de mantenimiento u otras noticias importantes de la plataforma.,Administrador del Sistema,Publicar anuncio a un rol específico (https://www.notion.so/Publicar-anuncio-a-un-rol-espec-fico-31687c56a82880b9b6cae692f4ecc211?pvs=21),ADM,Aprobada,16,COULD,Se implementa un sistema de comunicación interna para notificar a los usuarios sobre eventos operativos o ventanas de mantenimiento. Es una funcionalidad de mejora de la experiencia de usuario que facilita la gestión del cambio y la difusión de información técnica relevante.,Para comunicar a los usuarios sobre ventanas de mantenimiento u otras noticias importantes de la plataforma.,2,Quiero publicar un anuncio global o por rol,,,juan david julio serrano,Administrador del Sistema (https://www.notion.so/Administrador-del-Sistema-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-016
ADM-017: Dashboard Ejecutivo de KPIs,"Quiero visualizar un Dashboard Ejecutivo con KPIs clave (MTBF, Costos, Disponibilidad) que permita filtrar por fecha y área","Para identificar tendencias de fallos y ""activos problema"" (Bad Actors) para dirigir el presupuesto de mantenimiento donde más se necesita.",Gerente de Planta,"Visualización de KPIs Globales (https://www.notion.so/Visualizaci-n-de-KPIs-Globales-31687c56a8288055bc36c0e927cca862?pvs=21), Filtrado por Rango de Fecha y Zona (https://www.notion.so/Filtrado-por-Rango-de-Fecha-y-Zona-31687c56a82880d4a862e89dc8d663af?pvs=21), Drill-down a Activos Críticos (Pareto) (https://www.notion.so/Drill-down-a-Activos-Cr-ticos-Pareto-31687c56a82880cc94c4da524a620e3e?pvs=21)",ADM,Aprobada,17,SHOULD,"El dashboard ejecutivo sintetiza la información operativa para la toma de decisiones estratégicas de presupuesto y confiabilidad. Basado en estándares ISO 14224 y mejores prácticas de MRO (Wireman Vol 2), el sistema permitirá identificar tendencias y activos críticos mediante un procesamiento eficiente de datos históricos.","Para identificar tendencias de fallos y ""activos problema"" (Bad Actors) para dirigir el presupuesto de mantenimiento donde más se necesita.",8,"Quiero visualizar un Dashboard Ejecutivo con KPIs clave (MTBF, Costos, Disponibilidad) que permita filtrar por fecha y área",,,juan david julio serrano,Gerente de Planta (https://www.notion.so/Gerente-de-Planta-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-017
ADM-018: Exportación de Reportes en PDF,"Quiero descargar un reporte en PDF con los indicadores clave del mantenimiento (MTBF, MTTR, Disponibilidad)",Para analizar el desempeño mensual y presentarlo en las reuniones de gestión sin depender de la conexión al sistema.,Gerente de Planta,"Reporte descargado correctamente (https://www.notion.so/Reporte-descargado-correctamente-31687c56a828807c89c6d9bdfb274227?pvs=21), Intento fallido por falta de datos (https://www.notion.so/Intento-fallido-por-falta-de-datos-31687c56a8288011bef4d5db2745cd13?pvs=21)",ADM,Aprobada,18,SHOULD,"La capacidad de exportación en PDF responde a la necesidad de análisis offline y presentación de resultados en reuniones de gestión. Se priorizará un diseño profesional del documento que incluya tablas de KPIs y gráficos de tendencia, garantizando que la información estratégica sea accesible sin conexión.",Para analizar el desempeño mensual y presentarlo en las reuniones de gestión sin depender de la conexión al sistema.,5,"Quiero descargar un reporte en PDF con los indicadores clave del mantenimiento (MTBF, MTTR, Disponibilidad)",,,juan david julio serrano,Gerente de Planta (https://www.notion.so/Gerente-de-Planta-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-018
ADM-019: Sincronización de Datos con Herramientas BI,Quiero exportar o sincronizar los datos de los KPIs directamente con herramientas externas (como Power BI o Excel),Para tener presentaciones gerenciales siempre actualizadas y realizar análisis profundos sin tener que copiar y pegar gráficos manualmente cada mes.,Gerente de Planta,"Exportación de Datos para BI (https://www.notion.so/Exportaci-n-de-Datos-para-BI-31687c56a828805fb0d7f37e75af5202?pvs=21), Conexión de Datos (https://www.notion.so/Conexi-n-de-Datos-31687c56a82880ada022ea219cc7d0b4?pvs=21)",ADM,Aprobada,19,COULD,"Esta integración facilita el análisis profundo de datos al permitir el consumo de KPIs desde herramientas externas de inteligencia de negocio. Mediante una interfaz programática segura, el sistema asegura que los datos estratégicos estén disponibles para su uso en ecosistemas corporativos más amplios.",Para tener presentaciones gerenciales siempre actualizadas y realizar análisis profundos sin tener que copiar y pegar gráficos manualmente cada mes.,5,Quiero exportar o sincronizar los datos de los KPIs directamente con herramientas externas (como Power BI o Excel),,,juan david julio serrano,Gerente de Planta (https://www.notion.so/Gerente-de-Planta-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-019
MTTO-020: Consulta de Manuales en Móvil,Quiero buscar y consultar los manuales técnicos y planos vinculados a la jerarquía de activos directamente desde la aplicación operativa,"Para consultar la información necesaria en el sitio de la reparación sin tener que desplazarme a la oficina o buscar carpetas físicas, asegurando que la documentación sea relevante al componente que estoy interviniendo.",Técnico de Mantenimiento,"Visualización de Documento Técnico (https://www.notion.so/Visualizaci-n-de-Documento-T-cnico-31687c56a8288077a16bc7db119031f9?pvs=21), Descarga para uso Offline (https://www.notion.so/Descarga-para-uso-Offline-31687c56a828802fa28afb05c59fa390?pvs=21)",MTTO,Aprobada,20,SHOULD,"Esta funcionalidad busca descentralizar el acceso a la información técnica, permitiendo que el personal operativo consulte manuales y planos directamente en el punto de trabajo. Aunque es una mejora de productividad significativa para el prototipo conceptual, su implementación en producción requiere una estrategia de gestión documental robusta y un visor de documentos integrado con capacidades de operación fuera de línea.","Para consultar la información necesaria en el sitio de la reparación sin tener que desplazarme a la oficina o buscar carpetas físicas, asegurando que la documentación sea relevante al componente que estoy interviniendo.",3,Quiero buscar y consultar los manuales técnicos y planos vinculados a la jerarquía de activos directamente desde la aplicación operativa,,,juan david julio serrano,Técnico de Mantenimiento (https://www.notion.so/T-cnico-de-Mantenimiento-2ce87c56a828804db57fd6c417865e7d?pvs=21),MTTO-020
INV-021: Monitor de Reabastecimiento (Stock Alerts),"Quiero recibir notificaciones automáticas cuando los niveles de inventario desciendan del punto crítico definido, con priorización basada en la clasificación técnica de los repuestos",Para iniciar oportunamente los procesos de adquisición y evitar interrupciones en la disponibilidad de los activos críticos de la planta.,Jefe de Almacen,"Alerta Inmediata para Item Clase A (Crítico) (https://www.notion.so/Alerta-Inmediata-para-Item-Clase-A-Cr-tico-31687c56a828802ca2c3fed0ad9b6db6?pvs=21), Alerta Normal para Item Clase B (https://www.notion.so/Alerta-Normal-para-Item-Clase-B-31687c56a8288010b3e3e6145f2912dc?pvs=21), Lista de Compra Semanal para Item Clase C (https://www.notion.so/Lista-de-Compra-Semanal-para-Item-Clase-C-31687c56a8288025b31eed8773389f29?pvs=21), Pre-llenado de Orden de Compra (https://www.notion.so/Pre-llenado-de-Orden-de-Compra-31687c56a828804a82ede072a879a53b?pvs=21), Resolución de Alerta (https://www.notion.so/Resoluci-n-de-Alerta-31687c56a8288037a94ffd0bbaa5df2a?pvs=21)",INV,Aprobada,21,SHOULD,"Este componente implementa una gestión inteligente de inventarios basada en la criticidad ABC. Al automatizar la detección de niveles críticos de stock, el sistema permite que el personal de almacén se enfoque en los repuestos de alto impacto (Clase A), optimizando el flujo de caja y reduciendo el riesgo de lucro cesante por indisponibilidad de materiales.",Para iniciar oportunamente los procesos de adquisición y evitar interrupciones en la disponibilidad de los activos críticos de la planta.,5,"Quiero recibir notificaciones automáticas cuando los niveles de inventario desciendan del punto crítico definido, con priorización basada en la clasificación técnica de los repuestos",,,Didier Moreno Caicedo,Jefe de Almacen (https://www.notion.so/Jefe-de-Almacen-2ce87c56a828802a825ef3fc0ed3604e?pvs=21),INV-021
ADM-022: Sugerencias de Optimización (PMO),Quiero ver sugerencias automáticas sobre la frecuencia de mantenimiento basadas en el historial de fallas del activo,Para identificar equipos que están siendo sobre-mantenidos y ajustar el plan para reducir costos innecesarios.,Supervisor de Mantenimiento,"Detección de Sobre-Mantenimiento (https://www.notion.so/Detecci-n-de-Sobre-Mantenimiento-31687c56a8288028b474c6f883dcf65d?pvs=21), Aplicación de Sugerencia (https://www.notion.so/Aplicaci-n-de-Sugerencia-31687c56a82880739f8cc12993621fad?pvs=21)",ADM,Aprobada,22,WON'T,"Basado en el análisis de confiabilidad histórica, el sistema sugerirá optimizaciones al plan de mantenimiento para evitar el sobre-mantenimiento. Aunque su implementación completa requiere una base de datos histórica robusta, se define como una estrategia clave para la eficiencia de costos a largo plazo.",Para identificar equipos que están siendo sobre-mantenidos y ajustar el plan para reducir costos innecesarios.,5,Quiero ver sugerencias automáticas sobre la frecuencia de mantenimiento basadas en el historial de fallas del activo,,,juan david julio serrano,Supervisor de Mantenimiento (https://www.notion.so/Supervisor-de-Mantenimiento-2ce87c56a82880338b89c23822132112?pvs=21),ADM-022
ADM-024: Configuración General del Sistema,"Quiero configurar los parámetros globales del sistema (ej. Logo de la empresa, Zona Horaria, Unidades de Medida)",Para personalizar la plataforma según la identidad y ubicación de la planta sin necesidad de modificar el código.,Administrador del Sistema,"Cambio de Logo (https://www.notion.so/Cambio-de-Logo-31687c56a82880cfb42fda3d9a6ddfff?pvs=21), Cambio de Zona Horaria (https://www.notion.so/Cambio-de-Zona-Horaria-31687c56a828803dbdc7cae20a303a8f?pvs=21)",ADM,Aprobada,24,WON'T,Permite la personalización de los parámetros operativos y de identidad del sistema. La gestión de estas configuraciones globales asegura que la plataforma se adapte al entorno regional y a los estándares visuales de la organización sin requerir cambios a nivel de código.,Para personalizar la plataforma según la identidad y ubicación de la planta sin necesidad de modificar el código.,2,"Quiero configurar los parámetros globales del sistema (ej. Logo de la empresa, Zona Horaria, Unidades de Medida)",,,juan david julio serrano,Administrador del Sistema (https://www.notion.so/Administrador-del-Sistema-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-024
MTTO-026: Gestión de Backlog mediante Priorización Objetiva (RIME),Quiero que el sistema asigne automáticamente una prioridad a las tareas basada en la criticidad del activo y el riesgo operacional,Para eliminar la subjetividad en la programación y asegurar que los recursos se enfoquen en los problemas de mayor riesgo para la planta.,Planificador de Mantenimiento,"Cálculo automático de RIME (https://www.notion.so/C-lculo-autom-tico-de-RIME-31687c56a82880c6bdd5f92193262374?pvs=21), Ordenamiento del Backlog (https://www.notion.so/Ordenamiento-del-Backlog-31687c56a82880bf9c2cdee45dd889b4?pvs=21)",MTTO,Aprobada,26,MUST,"La implementación de la matriz RIME (Risk, Impact, Mantenibilidad, Economy) es esencial para la gestión de activos bajo ISO 55001. Este modelo de puntuación objetiva permite ordenar el trabajo diario basándose en la criticidad real y el impacto financiero, optimizando el uso de la mano de obra y los materiales en el backlog de mantenimiento.",Para eliminar la subjetividad en la programación y asegurar que los recursos se enfoquen en los problemas de mayor riesgo para la planta.,5,Quiero que el sistema asigne automáticamente una prioridad a las tareas basada en la criticidad del activo y el riesgo operacional,,,juan david julio serrano,Planificador de Mantenimiento (https://www.notion.so/Planificador-de-Mantenimiento-2ce87c56a82880dcb135f28a9bb48020?pvs=21),MTTO-026
INV-027: Creación de Ubicaciones Funcionales (Functional Locations),"Quiero definir la estructura jerárquica de ubicaciones funcionales de la organización, independientemente de los activos físicos instalados","Para disponer de un registro maestro de las posiciones operativas que permita preservar el historial técnico y de mantenimiento a través del tiempo, incluso ante la sustitución de equipos.",Ingeniero de Proyectos,"Crear Ubicación Raíz (Planta) (https://www.notion.so/Crear-Ubicaci-n-Ra-z-Planta-31687c56a8288035903af3002f5f59f5?pvs=21), Crear Ubicación Hija (Sección/Sistema) (https://www.notion.so/Crear-Ubicaci-n-Hija-Secci-n-Sistema-31687c56a828809db26cfcddefbbd37d?pvs=21), Validación de Tag Único (https://www.notion.so/Validaci-n-de-Tag-nico-31687c56a82880e3819ec2b0865eb879?pvs=21), Prevención de Ciclos (https://www.notion.so/Prevenci-n-de-Ciclos-31687c56a82880e99998f9c9b13cf8fb?pvs=21)",INV,Aprobada,27,MUST,"Las Ubicaciones Funcionales constituyen la arquitectura base del árbol de activos según ISO 14224. Al desacoplar la posición operativa del equipo físico, el sistema permite la acumulación histórica de datos de fiabilidad sobre un proceso específico, garantizando la trazabilidad a largo plazo y facilitando la navegación jerárquica desde la planta hasta el punto de intervención.","Para disponer de un registro maestro de las posiciones operativas que permita preservar el historial técnico y de mantenimiento a través del tiempo, incluso ante la sustitución de equipos.",3,"Quiero definir la estructura jerárquica de ubicaciones funcionales de la organización, independientemente de los activos físicos instalados",,,Didier Moreno Caicedo,Ingeniero de Proyectos (https://www.notion.so/Ingeniero-de-Proyectos-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),INV-027
MTTO-028: Asistente de Consulta de Documentación con IA (RAG),Quiero realizar consultas en lenguaje natural sobre los procedimientos técnicos y manuales integrados en el sistema,"Para obtener respuestas rápidas con referencias explícitas a página/sección específica del manual, asegurando que confirme la información en la fuente original antes de actuar.",Técnico de Mantenimiento,"Pregunta respondida con referencia a fuente (https://www.notion.so/Pregunta-respondida-con-referencia-a-fuente-31687c56a8288010a793e50cfe03b8be?pvs=21), Pregunta fuera de contexto (https://www.notion.so/Pregunta-fuera-de-contexto-31687c56a828805f9c9ff7194b457e3d?pvs=21), Consulta offline con contingencia (https://www.notion.so/Consulta-offline-con-contingencia-31687c56a8288019b3c9cd5d55029b17?pvs=21), Auditoríaoría de consulta (https://www.notion.so/Auditor-aor-a-de-consulta-31687c56a82880878f35f7e377d57304?pvs=21)",MTTO,Aprobada,28,SHOULD,"Esta funcionalidad de innovación busca reducir el tiempo de búsqueda de información técnica mediante el uso de arquitectura RAG (Retrieval Augmented Generation). Al indexar los manuales técnicos del activo, el sistema permite que el técnico realice consultas contextuales, garantizando que cada respuesta técnica esté respaldada por una referencia directa a la documentación del fabricante, minimizando así el riesgo operativo por errores de interpretación.","Para obtener respuestas rápidas con referencias explícitas a página/sección específica del manual, asegurando que confirme la información en la fuente original antes de actuar.",5,Quiero realizar consultas en lenguaje natural sobre los procedimientos técnicos y manuales integrados en el sistema,,,"juan david julio serrano, Marialuisa Alzate",Técnico de Mantenimiento (https://www.notion.so/T-cnico-de-Mantenimiento-2ce87c56a828804db57fd6c417865e7d?pvs=21),MTTO-028
MTTO-029: Definición de Límites Físicos de Activos,"Quiero definir y validar los límites físicos de cada activo maestro, especificando sus puntos de inicio, fin y componentes internos integrados","Para garantizar que cada activo tenga límites físicos claros (inicio/fin + componentes incluidos), previniendo duplicación de mantenimiento o asignación incorrecta de fallos.",Ingeniero de Confiabilidad,"Registro de Boundaries en Ficha de Equipo (https://www.notion.so/Registro-de-Boundaries-en-Ficha-de-Equipo-31687c56a8288081ba4df15b24aa77f4?pvs=21), Validación de Unicidad de Componentes (https://www.notion.so/Validaci-n-de-Unicidad-de-Componentes-31687c56a8288074a7d8dc19e37de9a3?pvs=21), Visualización de Límites (https://www.notion.so/Visualizaci-n-de-L-mites-31687c56a82880a892e9c61ef11c9893?pvs=21)",MTTO,Aprobada,29,MUST,"Esta funcionalidad es un requerimiento mandatorio de ISO 14224 para la integridad de los datos de fiabilidad. La definición precisa de los límites (Boundaries) asegura que la jerarquía de activos sea única y coherente, eliminando ambigüedades en la asignación de costos y responsabilidades técnicas entre activos adyacentes.","Para garantizar que cada activo tenga límites físicos claros (inicio/fin + componentes incluidos), previniendo duplicación de mantenimiento o asignación incorrecta de fallos.",3,"Quiero definir y validar los límites físicos de cada activo maestro, especificando sus puntos de inicio, fin y componentes internos integrados",,,juan david julio serrano,Ingeniero de Confiabilidad (https://www.notion.so/Ingeniero-de-Confiabilidad-2ce87c56a8288027b527ea5bf3e149e3?pvs=21),MTTO-029
MTTO-030: Gestión de Garantías de Activos,Quiero recibir notificaciones automáticas cuando se gestione una intervención sobre un activo con garantía vigente,"Para aprovechar cobertura de garantía antes de realizar mantenimiento interno, optimizando costos y evitando trabajo redundante en equipos aún garantizados.",Planificador de Mantenimiento,"Alerta de Garantía Vigente (https://www.notion.so/Alerta-de-Garant-a-Vigente-31687c56a82880c39ba2dd533725b610?pvs=21), Conversión a Reclamo (https://www.notion.so/Conversi-n-a-Reclamo-31687c56a8288087a430ea66a63d0181?pvs=21), Bypass Justificado (https://www.notion.so/Bypass-Justificado-31687c56a82880efa9adfbdef18530aa?pvs=21)",MTTO,Aprobada,30,SHOULD,"Esta funcionalidad optimiza el retorno sobre la inversión (ROI) de los activos al automatizar la detección de coberturas vigentes. Al integrar las fechas de garantía con el flujo de creación de órdenes de trabajo, el sistema previene el gasto innecesario de recursos internos y asegura el cumplimiento de los contratos de soporte con proveedores externos.","Para aprovechar cobertura de garantía antes de realizar mantenimiento interno, optimizando costos y evitando trabajo redundante en equipos aún garantizados.",3,Quiero recibir notificaciones automáticas cuando se gestione una intervención sobre un activo con garantía vigente,,,juan david julio serrano,Planificador de Mantenimiento (https://www.notion.so/Planificador-de-Mantenimiento-2ce87c56a82880dcb135f28a9bb48020?pvs=21),MTTO-030
INV-031: Gestión de Catálogo de Repuestos (Part Master),"Quiero crear y administrar la información técnica de los repuestos, incluyendo su clasificación, taxonomía y política de inventario",Para garantizar la existencia de un catálogo técnico único y estandarizado que facilite la planificación de materiales y el control eficiente de las existencias críticas.,Jefe de Almacen,"Creación Exitosa de Repuesto Stock (https://www.notion.so/Creaci-n-Exitosa-de-Repuesto-Stock-31687c56a8288046ba5aefd0c25dad99?pvs=21), Validación de Duplicados (Gatekeeper) (https://www.notion.so/Validaci-n-de-Duplicados-Gatekeeper-31687c56a828800dbacff717aa0f6185?pvs=21), Distinción Stock vs. Direct Purchase (https://www.notion.so/Distinci-n-Stock-vs-Direct-Purchase-31687c56a828806b8dcbe70073b4e719?pvs=21), Selección de Commodity Code Jerárquico (https://www.notion.so/Selecci-n-de-Commodity-Code-Jer-rquico-31687c56a8288047970ee6dbdd2f3322?pvs=21)",INV,Aprobada,31,MUST,"El Part Master centraliza el conocimiento técnico de los repuestos y suministros operativos. Mediante el uso de códigos de producto jerárquicos (Commodity Codes) y clasificación ABC, el sistema permite un control riguroso de la cadena de suministro técnica, implementando además mecanismos de detección de duplicados para asegurar la pureza del catálogo maestro.",Para garantizar la existencia de un catálogo técnico único y estandarizado que facilite la planificación de materiales y el control eficiente de las existencias críticas.,5,"Quiero crear y administrar la información técnica de los repuestos, incluyendo su clasificación, taxonomía y política de inventario",,,Didier Moreno Caicedo,Jefe de Almacen (https://www.notion.so/Jefe-de-Almacen-2ce87c56a828802a825ef3fc0ed3604e?pvs=21),INV-031
ADM-032: Sistema de Auditoríaoría Inmutable (Auditoría Trail),"Quiero consultar un registro cronológico e inalterable de todas las acciones críticas realizadas en el sistema (Creación, Modificación, Eliminación)",Para reconstruir la secuencia de eventos ante un incidente y demostrar cumplimiento normativo (ISO 55001 / ISO 14224).,Gerente de Planta,"Captura de Modificación de Datos Críticos (https://www.notion.so/Captura-de-Modificaci-n-de-Datos-Cr-ticos-31687c56a828801fabd4f089fe952c88?pvs=21), Consulta de Historial por Activo (https://www.notion.so/Consulta-de-Historial-por-Activo-31687c56a82880aeb3d1c8574b7feeb3?pvs=21), Trazabilidad de Eliminación (Soft-Delete) (https://www.notion.so/Trazabilidad-de-Eliminaci-n-Soft-Delete-31687c56a82880c3b620f34087c1fce1?pvs=21)",ADM,Aprobada,32,MUST,"La integridad de la información es un pilar de la norma ISO 55001. El sistema implementará un registro de auditoría inalterable que permita reconstruir cualquier incidente. Se utilizarán técnicas de encadenamiento de datos para asegurar que cada acción crítica sea trazable, cronológica y protegida contra manipulaciones.",Para reconstruir la secuencia de eventos ante un incidente y demostrar cumplimiento normativo (ISO 55001 / ISO 14224).,5,"Quiero consultar un registro cronológico e inalterable de todas las acciones críticas realizadas en el sistema (Creación, Modificación, Eliminación)",,,juan david julio serrano,Gerente de Planta (https://www.notion.so/Gerente-de-Planta-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-032
