Escenario,AC ID,Acción,Contexto,Epic,Resultado,US ID,UUID,"🧩  Historias de Usuario "
Visualización de Documento Técnico,AC-MTTO-020-11,"Cuando selecciona la pestaña ""Documentación"" y toca el archivo ""Manual de Servicio.pdf"".","Dado que el Técnico ha escaneado el QR de una bomba (Level 6 ISO 14224) y está en su ficha móvil, o ha seleccionado un Ítem Mantenible (Level 8) específico.",MTTO,"Entonces el documento debe abrirse en el visor integrado de la tablet sin necesidad de salir de la aplicación, mostrando el contexto del componente o equipo seleccionado.",MTTO-020,11,Consulta de Manuales en Móvil (https://www.notion.so/Consulta-de-Manuales-en-M-vil-2c687c56a8288094b175d7afd95742cf?pvs=21)
Descarga para uso Offline,AC-MTTO-020-12,"Cuando presiona el botón ""Descargar"" o ""Hacer disponible sin conexión"" sobre un plano eléctrico.",Dado que el Técnico tiene conexión a internet y visualiza la lista de planos.,MTTO,"Entonces el archivo debe descargarse y un icono debe indicar que está disponible para futuras consultas sin internet, permitiendo visualizar el documento incluso sin conexión.",MTTO-020,12,Consulta de Manuales en Móvil (https://www.notion.so/Consulta-de-Manuales-en-M-vil-2c687c56a8288094b175d7afd95742cf?pvs=21)
Creación Exitosa con Campos Mínimos,AC-INV-005-13,"Cuando el Ingeniero completa los campos obligatorios ISO 14224: Tag Number, Clase de Equipo, Fabricante, Estado Operativo y Fecha de Inicio y presiona “Guardar”","Dado que el Ingeniero de Proyectos está en la pantalla ""Nuevo Activo"".",INV,"Entonces el sistema crea el activo, muestra un mensaje de éxito y redirige al usuario a la ficha del equipo recién creado.",INV-005,13,Creación de Ficha Técnica de Activo (Equipment Unit - ISO 14224) (https://www.notion.so/Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-ISO-14224-2c587c56a828809c9d15c59cb13bf045?pvs=21)
Prevención de Tag Duplicado,AC-INV-005-14,"Cuando el Ingeniero intenta crear otro activo con el mismo Tag ""P-101"".","Dado que ya existe un activo activo con el Tag ""P-101"".",INV,"Entonces el sistema muestra una alerta: ""El Tag P-101 ya está en uso. Verifique si desea editar el existente"".",INV-005,14,Creación de Ficha Técnica de Activo (Equipment Unit - ISO 14224) (https://www.notion.so/Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-ISO-14224-2c587c56a828809c9d15c59cb13bf045?pvs=21)
Recepción de Material (Entrada),AC-INV-006-15,"Cuando el Almacenista registra la recepción: Repuesto ""BRG-6205"", Cantidad 50, Ubicación ""Warehouse A - Bin 12"".",Dado que llega una Orden de Compra de 50 rodamientos SKF 6205.,INV,"Entonces el sistema incrementa Cantidad Física en 50, registra transacción tipo ""Receipt"" con timestamp y muestra confirmación ""Recepción registrada: +50 unidades"".",INV-006,15,Gestión de Movimientos de Inventario (https://www.notion.so/Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21)
Validación y Activación de Activo,AC-INV-007-16,"Cuando el Ingeniero de Confiabilidad completa los campos técnicos obligatorios (Nivel 6 ISO 14224: Tag, Modelo, Fabricante, Serial, Ubicación FL, Manuales, Foto) y cambia el estado a ""Operativo"".","Dado que existe un registro ""Bomba P-New"" creado por Almacén en estado ""Borrador"".",INV,"Entonces el activo debe cambiar de estado inmediatamente a ""Operativo"", ser visible para los Técnicos en el mapa interactivo y disponible para asignarle planes de mantenimiento preventivo.",INV-007,16,Validación y Alta de Activos Nuevos (https://www.notion.so/Validaci-n-y-Alta-de-Activos-Nuevos-2c587c56a828803886b0efd1148ce6b4?pvs=21)
Rechazo de Activo Incompleto,AC-INV-007-17,"Cuando selecciona la opción ""Rechazar/Devolver"" y proporciona motivo (ej. ""Serial no coincide con PO"").","Dado que el Ingeniero de Confiabilidad revisa un activo en estado ""Borrador"" que no corresponde a la compra realizada o presenta inconsistencias de datos.",INV,"Entonces el registro debe marcarse como ""Devuelto a Almacén"", generar un comentario interno con el motivo, y enviar notificación al Jefe de Almacén para que revise la entrada física del material.",INV-007,17,Validación y Alta de Activos Nuevos (https://www.notion.so/Validaci-n-y-Alta-de-Activos-Nuevos-2c587c56a828803886b0efd1148ce6b4?pvs=21)
Definición de un Rol Personalizado,AC-ADM-013-20,"Cuando crea el rol ""Auditor ISO"" y le asigna permisos de Solo Lectura en todas las áreas funcionales del sistema (Mantenimiento, Inventario, Visualización de Activos) pero ningún permiso de edición o borrado.","Dado que el Administrador necesita crear un perfil para ""Auditores Externos"".",ADM,"Entonces el sistema guarda el rol y permite asignarlo a usuarios, garantizando que estos puedan consultar toda la información pero no realizar modificaciones operativas.",ADM-013,20,Gestión de Roles y Matriz de Permisos (RBAC Industrial) (https://www.notion.so/Gesti-n-de-Roles-y-Matriz-de-Permisos-RBAC-Industrial-2c587c56a8288030a183d5a07a1d6b44?pvs=21)
Desactivación Segura (Soft-Delete),AC-ADM-014-21,"Cuando el Administrador hace clic en ""Desactivar Usuario"".","Dado que el usuario ""Juan Pérez"" ha dejado la empresa pero tiene 50 Órdenes de Trabajo cerradas en su historial.",ADM,"Entonces el sistema cambia su estado a INACTIVO, revoca su token de sesión actual, pero mantiene su nombre visible en todos los registros históricos (Audit Trail).",ADM-014,21,Gestión de Usuarios y Ciclo de Vida Seguro (https://www.notion.so/Gesti-n-de-Usuarios-y-Ciclo-de-Vida-Seguro-2c587c56a8288040bb4ef345e87e96d0?pvs=21)
Bloqueo por Intentos Fallidos (Brute Force Protection),AC-ADM-014-22,Cuando falla el cuarto intento.,Dado que un usuario intenta iniciar sesión con una contraseña incorrecta 3 veces consecutivas.,ADM,Entonces el sistema bloquea la cuenta temporalmente por 15 minutos y envía una alerta de seguridad al correo registrado.,ADM-014,22,Gestión de Usuarios y Ciclo de Vida Seguro (https://www.notion.so/Gesti-n-de-Usuarios-y-Ciclo-de-Vida-Seguro-2c587c56a8288040bb4ef345e87e96d0?pvs=21)
Prueba de conexión API exitosa,AC-ADM-015-23,"Cuando hace clic en el botón ""Probar Conexión"".","Dado que el Administrador está en la pantalla de ""Integraciones"" y ha ingresado una API Key válida del ERP.",ADM,"Entonces el sistema debe mostrar un mensaje de éxito: ""Conexión con ERP establecida"".",ADM-015,23,Configuración de Integración ERP (https://www.notion.so/Configuraci-n-de-Integraci-n-ERP-2c587c56a82880a289c3e1c11af31b3b?pvs=21)
Prueba de conexión API fallida,AC-ADM-015-24,Cuando intenta probar la conexión con una API Key incorrecta o expirada.,"Dado que el Administrador está en la pantalla de ""Integraciones"".",ADM,"Entonces el sistema debe mostrar un mensaje de error claro: ""Fallo la autenticación. Verifique la API Key.""",ADM-015,24,Configuración de Integración ERP (https://www.notion.so/Configuraci-n-de-Integraci-n-ERP-2c587c56a82880a289c3e1c11af31b3b?pvs=21)
Publicar anuncio a un rol específico,AC-ADM-016-25,"Cuando escribe un mensaje, selecciona el rol ""Técnico"" como destinatario y lo publica.","Dado que el Administrador está en la pantalla de ""Publicar Anuncio"".",ADM,"Entonces solo los usuarios con el rol ""Técnico"" deben ver un banner con ese anuncio la próxima vez que inicien sesión.",ADM-016,25,Publicación de Anuncios del Sistema (https://www.notion.so/Publicaci-n-de-Anuncios-del-Sistema-2c587c56a828807e8020fb449e3e86d1?pvs=21)
Visualización de KPIs Globales,AC-ADM-017-26,"Cuando navega al módulo de ""Inteligencia de Mantenimiento"".",Dado que el Gerente ha iniciado sesión.,ADM,"Entonces el sistema debe mostrar los indicadores MTBF, MTTR y Disponibilidad del mes en curso para toda la planta, utilizando gráficos de tendencia (líneas) y medidores (gauges).",ADM-017,26,Dashboard Ejecutivo de KPIs (https://www.notion.so/Dashboard-Ejecutivo-de-KPIs-2c587c56a8288043914df61cd7bc6597?pvs=21)
Filtrado por Rango de Fecha y Zona,AC-ADM-017-27,"Cuando selecciona el rango ""Último Trimestre"" y filtra por la zona ""Casa de Bombas"".",Dado que el Gerente está viendo el Dashboard General.,ADM,Entonces todos los gráficos deben recalcularse automáticamente para mostrar solo los datos de esa zona en ese periodo.,ADM-017,27,Dashboard Ejecutivo de KPIs (https://www.notion.so/Dashboard-Ejecutivo-de-KPIs-2c587c56a8288043914df61cd7bc6597?pvs=21)
Drill-down a Activos Críticos (Pareto),AC-ADM-017-28,Cuando hace clic en la barra del activo más crítico (el número 1).,"Dado que el Gerente visualiza el gráfico de ""Top 10 Activos con más Paradas"" (Pareto).",ADM,"Entonces el sistema debe redirigirlo a la ""Hoja de Vida"" de ese activo específico para ver el detalle de sus últimas fallas.",ADM-017,28,Dashboard Ejecutivo de KPIs (https://www.notion.so/Dashboard-Ejecutivo-de-KPIs-2c587c56a8288043914df61cd7bc6597?pvs=21)
Reporte descargado correctamente,AC-ADM-018-29,Cuando selecciona el mes a consultar y hace clic en “Descargar PDF”.,Dado que el Gerente está en la pantalla de “Inteligencia de Negocio”.,ADM,Entonces el sistema debe generar y descargar un archivo .pdf que contenga los gráficos de los indicadores seleccionados y mostrar el mensaje: “Reporte generado correctamente.”,ADM-018,29,Exportación de Reportes en PDF (https://www.notion.so/Exportaci-n-de-Reportes-en-PDF-2c587c56a82880728fcefbb565bf678c?pvs=21)
Intento fallido por falta de datos,AC-ADM-018-30,Cuando el sistema detecta que no existen registros suficientes para calcular los indicadores.,Dado que el Gerente intenta descargar el reporte del mes seleccionado.,ADM,Entonces debe mostrar un mensaje de error: “No hay datos disponibles para generar el reporte del mes seleccionado.”,ADM-018,30,Exportación de Reportes en PDF (https://www.notion.so/Exportaci-n-de-Reportes-en-PDF-2c587c56a82880728fcefbb565bf678c?pvs=21)
Exportación de Datos para BI,AC-ADM-019-31,"Cuando selecciona la opción ""Exportar Dataset (CSV/JSON)"".",Dado que el Gerente está viendo el Dashboard de KPIs.,ADM,"Entonces el sistema debe generar un archivo estructurado y limpio, listo para ser importado en herramientas como Power BI o Excel.",ADM-019,31,Sincronización de Datos con Herramientas BI (https://www.notion.so/Sincronizaci-n-de-Datos-con-Herramientas-BI-2c587c56a828805a9d29ddf7935a4a57?pvs=21)
Conexión de API de Datos,AC-ADM-019-32,Cuando configura el conector web con la URL de la API de Reportes del sistema y su credencial.,Dado que el Gerente utiliza una herramienta de BI externa (ej. Power BI Desktop).,ADM,Entonces la herramienta externa debe ser capaz de importar la tabla de datos históricos de KPIs y permitir su actualización automática.,ADM-019,32,Sincronización de Datos con Herramientas BI (https://www.notion.so/Sincronizaci-n-de-Datos-con-Herramientas-BI-2c587c56a828805a9d29ddf7935a4a57?pvs=21)
Detección de Sobre-Mantenimiento,AC-ADM-022-33,"Cuando el Supervisor accede al módulo de ""Optimización PMO"".",Dado que un activo tiene mantenimientos preventivos mensuales y cero fallas registradas en los últimos 12 meses.,ADM,"Entonces el sistema debe mostrar una tarjeta de sugerencia: ""Activo [ID] con alta confiabilidad. Se sugiere aumentar frecuencia a Bimestral"".",ADM-022,33,Sugerencias de Optimización (PMO) (https://www.notion.so/Sugerencias-de-Optimizaci-n-PMO-2c687c56a8288077a868ce5ee0cddaad?pvs=21)
Aplicación de Sugerencia,AC-ADM-022-34,"Cuando el Supervisor hace clic en ""Aplicar Cambio"".",Dado que el sistema muestra una sugerencia de cambio de frecuencia.,ADM,Entonces el Plan de Mantenimiento Preventivo asociado debe actualizarse automáticamente con la nueva frecuencia y registrar quién aprobó el cambio.,ADM-022,34,Sugerencias de Optimización (PMO) (https://www.notion.so/Sugerencias-de-Optimizaci-n-PMO-2c687c56a8288077a868ce5ee0cddaad?pvs=21)
"Cambio de Logo ",AC-ADM-024-35,"Cuando encuentra en la pantalla de ""Configuración General"".Cuando carga un archivo de imagen (PNG/JPG) en el campo ""Logo Corporativo"" y guarda los cambios.","Dado que el Administrador se encuentra en la pantalla de ""Configuración General"".",ADM,Entonces el logo en la barra de navegación superior se actualiza inmediatamente para reflejar la nueva imagen.,ADM-024,35,Configuración General del Sistema (https://www.notion.so/Configuraci-n-General-del-Sistema-2c787c56a82880e898ade2a7463bb60c?pvs=21)
Cambio de Zona Horaria,AC-ADM-024-36,"Cuando selecciona ""UTC-5 (Colombia)"" en la lista desplegable de Zona Horaria.",Dado que el Administrador está en la configuración regional y la hora actual del sistema está en UTC.,ADM,Entonces todas las fechas y horas mostradas en las Órdenes de Trabajo deben ajustarse automáticamente a la nueva zona seleccionada.,ADM-024,36,Configuración General del Sistema (https://www.notion.so/Configuraci-n-General-del-Sistema-2c787c56a82880e898ade2a7463bb60c?pvs=21)
Activación de Capa de Seguridad (Redundancia Visual),AC-VIS-008-37,"Cuando activa la capa ""Permisos de Trabajo"".",Dado que el Inspector está visualizando el mapa general de planta (Nivel 1).,VIS,"Entonces el sistema superpone iconos sobre los activos afectados, utilizando codificación redundante (Color + Forma): Trabajo en Caliente: Cuadrado Rojo. Trabajo en Alturas: Triángulo Azul. Espacio Confinado: Círculo Amarillo.",VIS-008,37,Visualización de Capa de Permisos de Trabajo (https://www.notion.so/Visualizaci-n-de-Capa-de-Permisos-de-Trabajo-2c587c56a82880858dd2eebd60f2b269?pvs=21)
Consulta Contextual (Drill-Down),AC-VIS-008-38,Cuando el Inspector hace clic sobre el icono.,"Dado que se muestra un icono de ""Trabajo en Caliente"" sobre la bomba P-202.",VIS,"Entonces se despliega una tarjeta compacta (sin tapar el contexto) con: Contratista, Hora Inicio/Fin, y Responsable HSEQ.",VIS-008,38,Visualización de Capa de Permisos de Trabajo (https://www.notion.so/Visualizaci-n-de-Capa-de-Permisos-de-Trabajo-2c587c56a82880858dd2eebd60f2b269?pvs=21)
Zoom Semántico (Drill-Down),AC-VIS-009-39,"Cuando hace zoom sobre el área de ""Calderas"".",Dado que el Supervisor está viendo el Mapa General (Nivel 1).,VIS,Entonces el mapa cambia de mostrar un bloque genérico a mostrar los iconos individuales de los activos (Nivel 2) y sus etiquetas de estado.,VIS-009,39,Navegación Jerárquica y Zoom Semántico (https://www.notion.so/Navegaci-n-Jer-rquica-y-Zoom-Sem-ntico-2c587c56a82880e9b393df52ca93c1d5?pvs=21)
Límites de Navegación,AC-VIS-009-40,Cuando intenta hacer más zoom.,Dado que el Supervisor ha alcanzado el nivel máximo de detalle.,VIS,Entonces la vista se bloquea suavemente (efecto elástico) para evitar que la cámara atraviese el suelo o entre en geometrías no renderizadas.,VIS-009,40,Navegación Jerárquica y Zoom Semántico (https://www.notion.so/Navegaci-n-Jer-rquica-y-Zoom-Sem-ntico-2c587c56a82880e9b393df52ca93c1d5?pvs=21)
Activación de Despiece,AC-VIS-010-41,"Cuando selecciona la opción ""Ver Despiece"".",Dado que el Técnico ha seleccionado una bomba en el visor 3D.,VIS,Entonces las partes del modelo se separan visualmente (animación de explosión) permitiendo ver los componentes internos como el eje y los rodamientos.,VIS-010,41,Visualización de Despiece (Vista Explosionada) (https://www.notion.so/Visualizaci-n-de-Despiece-Vista-Explosionada-2c587c56a8288012879de8212fc850a9?pvs=21)
Selección de Componente Interno,AC-VIS-010-42,Cuando el Técnico selecciona un rodamiento específico.,"Dado que el activo está en modo ""Vista Explosionada"".",VIS,Entonces el sistema resalta el componente y muestra una etiqueta con su nombre y código de parte vinculado al Inventario.,VIS-010,42,Visualización de Despiece (Vista Explosionada) (https://www.notion.so/Visualizaci-n-de-Despiece-Vista-Explosionada-2c587c56a8288012879de8212fc850a9?pvs=21)
Visualización de Puntos de Corte,AC-VIS-011-43,"Cuando activa la función ""Ver Ruta LOTO"".",Dado que el Técnico tiene seleccionada una Orden de Trabajo en su tablet.,VIS,"Entonces el Gemelo Digital resalta en el modelo 3D el activo, las fuentes de energía y los puntos de bloqueo físicos (ej. válvulas, interruptores) conectados mediante líneas de trazabilidad.",VIS-011,43,Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21)
Validación de Conexión,AC-VIS-011-44,Cuando el Técnico selecciona el punto de corte sugerido (ej. Breaker).,Dado que se muestran las líneas de conexión LOTO.,VIS,Entonces el sistema debe mostrar la etiqueta del tablero (Tag) que coincide con la realidad física.,VIS-011,44,Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21)
Crear un sub-componente,AC-VIS-012-45,"Cuando hace clic en ""Añadir Componente"", le da el nombre ""Motor Eléctrico"" y el código ""ME-01"".","Dado que el Ingeniero está en la página de un activo ""Bomba P-101"" que no tiene componentes definidos.",VIS,"Entonces ""Motor Eléctrico"" debe aparecer como un sub-ítem anidado debajo de la ""Bomba P-101"" en el árbol de activos.",VIS-012,45,Configuración de Jerarquía de Componentes 3D (https://www.notion.so/Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21)
Asociar un modelo 3D a un componente,AC-VIS-012-46,"Cuando utiliza la opción ""Subir Modelo 3D"" y adjunta un archivo motor.step.","Dado que el Ingeniero está editando las propiedades del componente ""Motor Eléctrico"".",VIS,Entonces el sistema debe asociar ese archivo 3D al componente y mostrar una vista previa en miniatura.,VIS-012,46,Configuración de Jerarquía de Componentes 3D (https://www.notion.so/Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21)
Navegación jerárquica,AC-VIS-012-47,"Cuando hace clic en la vista explosionada y selecciona el ""Motor Eléctrico"".","Dado que el Técnico está viendo el activo ""Bomba P-101"" en la app móvil.",VIS,"Entonces la app debe mostrar la información y el modelo 3D específico del ""Motor Eléctrico"", no el de la bomba completa.",VIS-012,47,Configuración de Jerarquía de Componentes 3D (https://www.notion.so/Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21)
Intento de crear un componente duplicado,AC-VIS-012-48,"Cuando el Ingeniero intenta crear otro componente con el mismo código ""ME-01"".","Dado que el activo ""Bomba P-101"" ya tiene un componente con el código ""ME-01"".",VIS,"Entonces el sistema debe mostrar un mensaje de error ""El código de componente ya existe en este activo"" y no debe crear el duplicado.",VIS-012,48,Configuración de Jerarquía de Componentes 3D (https://www.notion.so/Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21)
Mover componente en el árbol (Re-parenting),AC-VIS-012-49,"Cuando el Ingeniero arrastra el componente hacia el ""Motor B"" en el árbol de jerarquía.","Dado que el componente ""Rodamiento R-01"" fue creado por error dentro del ""Motor A"".",VIS,"Entonces el sistema debe actualizar la relación padre-hijo, moviendo el rodamiento y todo su historial al nuevo padre.",VIS-012,49,Configuración de Jerarquía de Componentes 3D (https://www.notion.so/Configuraci-n-de-Jerarqu-a-de-Componentes-3D-2c587c56a82880649e7dc624bf27aaf0?pvs=21)
Filtrado Dinámico de Taxonomía,AC-MTTO-002-50,"Cuando el Técnico abre el selector de ""Modo de Falla"".","Dado que el activo intervenido es de Clase ""Bomba Centrifuga"".",MTTO,"Entonces el sistema solo muestra los modos de falla aplicables a bombas (ej. No debe mostrar ""Falla de Software"" o ""Cortocircuito"" si no son propios de la clase).",MTTO-002,50,Cierre Digital de WO con Taxonomía ISO 14224 (https://www.notion.so/Cierre-Digital-de-WO-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21)
Bloqueo de Inicio por Energía Detectada,AC-VIS-011-51,"Cuando el técnico intenta presionar ""Iniciar Trabajo"".",Dado que el sistema detecta energía activa.,VIS,Entonces el sistema bloquea la acción y muestra una alerta de peligro.,VIS-011,51,Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21)
Validación de Energía Cero,AC-VIS-011-52,Cuando el técnico confirma el bloqueo físico.,Dado que los sensores confirman que no hay energía activa.,VIS,"Entonces el sistema permite cambiar el estado de la WO a ""En Ejecución"".",VIS-011,52,Visualización de Rutas de Aislamiento (LOTO) y Bloqueo Activo (https://www.notion.so/Visualizaci-n-de-Rutas-de-Aislamiento-LOTO-y-Bloqueo-Activo-2c587c56a8288006a4dff06d585ce8aa?pvs=21)
Cálculo automático de RIME,AC-MTTO-026-53,"Cuando el sistema detecta que el activo es ""Crítico para Seguridad"" y el trabajo es una ""Reparación Urgente"".",Dado que el Planificador está revisando una nueva Solicitud de Trabajo.,MTTO,Entonces el sistema calcula y muestra un puntaje RIME de 100 en la cabecera de la solicitud.,MTTO-026,53,Gestión de Backlog mediante Priorización Objetiva (RIME) (https://www.notion.so/Gesti-n-de-Backlog-mediante-Priorizaci-n-Objetiva-RIME-30a87c56a82880dbb648cc7c974e2198?pvs=21)
Ordenamiento del Backlog,AC-MTTO-026-54,Cuando el sistema carga la lista.,Dado que el Programador abre el tablero de tareas pendientes.,MTTO,Entonces las órdenes con mayor puntaje RIME aparecen en la parte superior del listado de forma automática.,MTTO-026,54,Gestión de Backlog mediante Priorización Objetiva (RIME) (https://www.notion.so/Gesti-n-de-Backlog-mediante-Priorizaci-n-Objetiva-RIME-30a87c56a82880dbb648cc7c974e2198?pvs=21)
Validación de campos obligatorios,AC-INV-005-55,"Cuando el Ingeniero intenta guardar sin haber seleccionado la ""Clase de Equipo"" (ej. Bomba Centrifuga).",Dado que el Ingeniero de Proyectos está creando un nuevo activo.,INV,"Entonces el sistema impide guardar y resalta el campo con el mensaje: ""Campo obligatorio según norma ISO 14224"".",INV-005,55,Creación de Ficha Técnica de Activo (Equipment Unit - ISO 14224) (https://www.notion.so/Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-ISO-14224-2c587c56a828809c9d15c59cb13bf045?pvs=21)
