Escenario,AC ID,Acción,Contexto,Epic,Historia de Origen,Resultado,US ID,UUID
Intento de carga con formato incorrecto,AC-MTTO-003-11,Cuando intenta subir un archivo con formato no soportado o potencialmente inseguro.,Dado que el Contratista está autenticado y en la pantalla de la Orden de Trabajo.,MTTO,MTTO-003: Carga de Informe por Contratista (https://www.notion.so/MTTO-003-Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21),"Entonces el sistema comunica que el formato no es válido, restringe la carga y permite al usuario seleccionar un archivo compatible.",MTTO-003,11
Validación de tamaño de archivo,AC-MTTO-003-12,Cuando intenta subir un documento que excede el límite máximo de tamaño permitido.,Dado que el Contratista está en la pantalla de gestión de adjuntos.,MTTO,MTTO-003: Carga de Informe por Contratista (https://www.notion.so/MTTO-003-Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21),Entonces el sistema emite una advertencia de capacidad y sugiere optimizar el archivo antes de reintentar el proceso.,MTTO-003,12
Visualización de adjuntos para Supervisor,AC-MTTO-003-13,Cuando el Supervisor accede a la orden para su revisión técnica.,Dado que un informe digital ha sido adjuntado satisfactoriamente a una Orden de Trabajo.,MTTO,MTTO-003: Carga de Informe por Contratista (https://www.notion.so/MTTO-003-Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21),"Entonces el sistema presenta la lista detallada de adjuntos con metadatos de autoría y fecha, permitiendo la consulta directa y el filtrado por componente afectado.",MTTO-003,13
Extracción de datos exitosa,AC-MTTO-004-14,Cuando el Supervisor abre la orden de trabajo para su revisión.,Dado que un Contratista ha subido un informe digital a una Orden de Trabajo y este se encuentra pendiente de aprobación.,MTTO,MTTO-004: Extracción Automática de Datos de Informes (https://www.notion.so/MTTO-004-Extracci-n-Autom-tica-de-Datos-de-Informes-2c587c56a82880ecbcdcfc7405526d3c?pvs=21),"Entonces el sistema presenta un resumen detallado con los datos clave extraídos del documento (horas, repuestos, descripción) para su validación inmediata.",MTTO-004,14
Extracción con datos faltantes,AC-MTTO-004-15,Cuando el Supervisor inicia la revisión automática.,Dado que el documento cargado no contiene información estructurada sobre la lista de materiales o repuestos.,MTTO,MTTO-004: Extracción Automática de Datos de Informes (https://www.notion.so/MTTO-004-Extracci-n-Autom-tica-de-Datos-de-Informes-2c587c56a82880ecbcdcfc7405526d3c?pvs=21),Entonces el sistema emite un aviso de validación comunicando que la información de materiales no pudo ser recuperada y requiere ingreso manual.,MTTO-004,15
Aprobación con un solo clic,AC-MTTO-004-16,"Cuando el Supervisor confirma la exactitud de la información y presiona ""Aprobar"".",Dado que el sistema ha presentado satisfactoriamente el resumen de la extracción automática de datos.,MTTO,MTTO-004: Extracción Automática de Datos de Informes (https://www.notion.so/MTTO-004-Extracci-n-Autom-tica-de-Datos-de-Informes-2c587c56a82880ecbcdcfc7405526d3c?pvs=21),Entonces la Orden de Trabajo cambia a estado aprobado y el resumen extraído se integra formalmente al registro histórico de cierre.,MTTO-004,16
Visualización de Documento Técnico,AC-MTTO-020-17,Cuando selecciona la sección de documentación y solicita abrir un manual o plano técnico.,Dado que el Técnico ha identificado un activo o componente específico en su terminal móvil.,MTTO,MTTO-020: Consulta de Manuales en Móvil (https://www.notion.so/MTTO-020-Consulta-de-Manuales-en-M-vil-2c687c56a8288094b175d7afd95742cf?pvs=21),"Entonces el documento se presenta en el visor integrado del sistema, manteniendo el contexto del componente seleccionado sin abandonar la aplicación.",MTTO-020,17
Descarga voluntaria para uso Offline,AC-MTTO-020-18,Cuando activa explícitamente la opción de disponibilidad sin conexión para un documento específico.,Dado que el Técnico dispone de conectividad de red y visualiza la lista de planos disponibles.,MTTO,MTTO-020: Consulta de Manuales en Móvil (https://www.notion.so/MTTO-020-Consulta-de-Manuales-en-M-vil-2c687c56a8288094b175d7afd95742cf?pvs=21),Entonces el sistema garantiza el acceso local al archivo y comunica visualmente que el documento podrá ser consultado incluso sin cobertura de red.,MTTO-020,18
Cálculo automático de RIME,AC-MTTO-026-19,Cuando el motor de priorización detecta un activo crítico y un tipo de intervención de alta urgencia.,Dado que el Planificador está revisando una nueva Solicitud de Trabajo en el sistema.,MTTO,MTTO-026: Gestión de Backlog mediante Priorización Objetiva (RIME) (https://www.notion.so/MTTO-026-Gesti-n-de-Backlog-mediante-Priorizaci-n-Objetiva-RIME-30a87c56a82880dbb648cc7c974e2198?pvs=21),Entonces el sistema calcula y presenta el puntaje de prioridad máxima en la cabecera de la solicitud.,MTTO-026,19
Ordenamiento del Backlog,AC-MTTO-026-20,Cuando el sistema carga el listado de órdenes de trabajo.,Dado que el personal de programación consulta el tablero de tareas pendientes.,MTTO,MTTO-026: Gestión de Backlog mediante Priorización Objetiva (RIME) (https://www.notion.so/MTTO-026-Gesti-n-de-Backlog-mediante-Priorizaci-n-Objetiva-RIME-30a87c56a82880dbb648cc7c974e2198?pvs=21),Entonces las intervenciones con mayor puntaje de prioridad aparecen automáticamente en la sección superior del tablero.,MTTO-026,20
Pregunta respondida con referencia a fuente,AC-MTTO-028-21,Cuando pregunta por una especificación técnica específica contenida en los manuales del equipo.,Dado que el Técnico se encuentra en una intervención técnica y abre la interfaz del asistente de inteligencia.,MTTO,MTTO-028: Asistente de Consulta de Documentación con IA (RAG) (https://www.notion.so/MTTO-028-Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-30b87c56a82880868994f88b54e68897?pvs=21),"Entonces el motor responde con la información técnica recuperada y proporciona la referencia exacta (documento, página y sección) para su validación manual.",MTTO-028,21
Pregunta fuera de contexto,AC-MTTO-028-22,Cuando realiza una consulta de carácter general o fuera de dominio.,Dado que el Técnico solicita información no relacionada con la base de conocimiento técnica disponible.,MTTO,MTTO-028: Asistente de Consulta de Documentación con IA (RAG) (https://www.notion.so/MTTO-028-Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-30b87c56a82880868994f88b54e68897?pvs=21),Entonces el asistente comunica que no dispone de información confiable en los manuales actuales y sugiere consultar al supervisor o revisar la documentación física.,MTTO-028,22
Consulta offline con contingencia,AC-MTTO-028-23,Cuando intenta utilizar el asistente de inteligencia.,Dado que el personal operativo se encuentra en una zona sin conectividad de red.,MTTO,MTTO-028: Asistente de Consulta de Documentación con IA (RAG) (https://www.notion.so/MTTO-028-Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-30b87c56a82880868994f88b54e68897?pvs=21),Entonces el sistema informa que el asistente no está disponible sin conexión y presenta la interfaz de búsqueda local para consultar los manuales descargados.,MTTO-028,23
Auditoría de consulta,AC-MTTO-028-24,Cuando el supervisor revisa el historial de la orden de trabajo.,Dado que se ha realizado una consulta al asistente de inteligencia durante una intervención.,MTTO,MTTO-028: Asistente de Consulta de Documentación con IA (RAG) (https://www.notion.so/MTTO-028-Asistente-de-Consulta-de-Documentaci-n-con-IA-RAG-30b87c56a82880868994f88b54e68897?pvs=21),"Entonces visualiza el registro de la consulta incluyendo la marca de tiempo, la pregunta técnica y las fuentes documentales referenciadas por el motor.",MTTO-028,24
Registro de Boundaries en Ficha de Equipo,AC-MTTO-029-25,Cuando registra los puntos de delimitación física y selecciona los componentes de nivel 8 que pertenecen al activo.,Dado que el Ingeniero de Confiabilidad se encuentra configurando los parámetros técnicos de un activo de nivel 6.,MTTO,MTTO-029: Definición de Límites Físicos de Activos (https://www.notion.so/MTTO-029-Definici-n-de-L-mites-F-sicos-de-Activos-30b87c56a8288013b9f5ec60d75d219a?pvs=21),Entonces el sistema confirma el registro satisfactorio de los límites y los componentes seleccionados se integran oficialmente a la ficha técnica del equipo.,MTTO-029,25
Validación de Unicidad de Componentes,AC-MTTO-029-26,Cuando el personal técnico intenta vincular ese mismo componente a un activo diferente en la jerarquía.,Dado que un componente técnico ya se encuentra asignado a los límites de un activo operativo.,MTTO,MTTO-029: Definición de Límites Físicos de Activos (https://www.notion.so/MTTO-029-Definici-n-de-L-mites-F-sicos-de-Activos-30b87c56a8288013b9f5ec60d75d219a?pvs=21),Entonces el sistema emite una notificación de conflicto jerárquico y bloquea la operación para prevenir inconsistencias en la base de datos de activos.,MTTO-029,26
Visualización de Límites,AC-MTTO-029-27,Cuando accede a la sección de límites y componentes incluidos.,Dado que un usuario consulta la ficha técnica de un equipo en la aplicación operativa.,MTTO,MTTO-029: Definición de Límites Físicos de Activos (https://www.notion.so/MTTO-029-Definici-n-de-L-mites-F-sicos-de-Activos-30b87c56a8288013b9f5ec60d75d219a?pvs=21),Entonces visualiza la descripción técnica de los límites físicos y la relación completa de componentes que conforman la unidad operativa.,MTTO-029,27
Alerta de Garantía Vigente,AC-MTTO-030-28,Cuando el personal técnico intenta iniciar el registro de una intervención correctiva para dicho activo.,Dado que un activo operativo cuenta con una cobertura de garantía válida según los registros del sistema.,MTTO,MTTO-030: Gestión de Garantías de Activos (https://www.notion.so/MTTO-030-Gesti-n-de-Garant-as-de-Activos-30b87c56a8288092a1d4e315ad3fb402?pvs=21),"Entonces el sistema interrumpe el flujo operativo con una notificación de advertencia, informando sobre la vigencia de la garantía y sugiriendo el inicio de un reclamo.",MTTO-030,28
Conversión a Reclamo,AC-MTTO-030-29,Cuando el usuario responsable opta por formalizar un reclamo técnico con el proveedor.,Dado que se ha emitido una notificación por garantía vigente durante la gestión de una orden.,MTTO,MTTO-030: Gestión de Garantías de Activos (https://www.notion.so/MTTO-030-Gesti-n-de-Garant-as-de-Activos-30b87c56a8288092a1d4e315ad3fb402?pvs=21),"Entonces el sistema adapta la interfaz operativa, ocultando los campos de costos internos y presentando la información de contacto y términos de cobertura del fabricante.",MTTO-030,29
Bypass Justificado,AC-MTTO-030-30,Cuando el usuario responsable decide proceder con el mantenimiento interno a pesar de la cobertura activa.,Dado que se ha emitido una notificación por garantía vigente.,MTTO,MTTO-030: Gestión de Garantías de Activos (https://www.notion.so/MTTO-030-Gesti-n-de-Garant-as-de-Activos-30b87c56a8288092a1d4e315ad3fb402?pvs=21),Entonces el sistema exige el ingreso de una justificación técnica obligatoria antes de permitir la formalización de la orden de trabajo.,MTTO-030,30
Creación Exitosa con Campos Mínimos,AC-INV-005-31,"Cuando completa los campos técnicos obligatorios (identificación, clase, fabricante y fechas operativas) y solicita el guardado.",Dado que el Ingeniero de Proyectos se encuentra en la interfaz de registro de nuevos activos.,INV,INV-005: Creación de Ficha Técnica de Activo (Equipment Unit) (https://www.notion.so/INV-005-Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-2c587c56a828809c9d15c59cb13bf045?pvs=21),"Entonces el sistema formaliza el registro del activo, comunica el éxito de la operación y presenta la ficha técnica del equipo recién creado.",INV-005,31
Prevención de Tag Duplicado,AC-INV-005-32,Cuando el personal técnico intenta registrar un nuevo equipo utilizando el mismo identificador.,Dado que el identificador industrial (Tag) ya se encuentra asignado a un activo existente en el sistema.,INV,INV-005: Creación de Ficha Técnica de Activo (Equipment Unit) (https://www.notion.so/INV-005-Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-2c587c56a828809c9d15c59cb13bf045?pvs=21),Entonces el sistema emite una notificación de advertencia indicando que el identificador ya está en uso y sugiere la revisión del registro existente.,INV-005,32
Validación de campos obligatorios,AC-INV-005-33,Cuando el usuario intenta finalizar el registro omitiendo la clasificación técnica obligatoria (ej. Clase de Equipo).,Dado que se está procediendo con la creación de un nuevo activo operativo.,INV,INV-005: Creación de Ficha Técnica de Activo (Equipment Unit) (https://www.notion.so/INV-005-Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-2c587c56a828809c9d15c59cb13bf045?pvs=21),"Entonces el sistema restringe el guardado, resalta los campos faltantes y notifica sobre el incumplimiento de los requerimientos de información de la norma ISO 14224.",INV-005,33
Validación de Coherencia de Fechas,AC-INV-005-34,Cuando se registra una fecha de inicio de operación anterior a la fecha de adquisición o compra del equipo.,Dado que el personal técnico ingresa la cronología operativa del activo.,INV,INV-005: Creación de Ficha Técnica de Activo (Equipment Unit) (https://www.notion.so/INV-005-Creaci-n-de-Ficha-T-cnica-de-Activo-Equipment-Unit-2c587c56a828809c9d15c59cb13bf045?pvs=21),Entonces el sistema detecta la inconsistencia temporal y comunica una advertencia de integridad para asegurar la veracidad de los datos históricos.,INV-005,34
Recepción de Material (Entrada),AC-INV-006-35,"Cuando el personal responsable formaliza el ingreso especificando el repuesto, la cantidad recibida y la ubicación técnica en el almacén.",Dado que se ha recibido un pedido de repuestos críticos en las instalaciones de almacenamiento.,INV,INV-006: Gestión de Movimientos de Inventario (https://www.notion.so/INV-006-Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21),"Entonces el sistema incrementa los niveles de inventario físico, registra la transacción cronológica y comunica la confirmación del ingreso satisfactorio.",INV-006,35
Salida de Material a Orden de Trabajo (Issue),AC-INV-006-36,Cuando el personal operativo solicita el retiro de los materiales vinculados a la intervención técnica.,Dado que existe una orden de trabajo planificada que requiere materiales reservados previamente.,INV,INV-006: Gestión de Movimientos de Inventario (https://www.notion.so/INV-006-Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21),"Entonces el sistema valida la disponibilidad real, deduce las cantidades del inventario, libera las reservas correspondientes y asigna el costo de los materiales a la orden de trabajo.",INV-006,36
Validación de Stock Insuficiente,AC-INV-006-37,Cuando el personal técnico intenta realizar el retiro del material en el sistema.,Dado que el saldo disponible de un repuesto es inferior a la cantidad solicitada para una intervención.,INV,INV-006: Gestión de Movimientos de Inventario (https://www.notion.so/INV-006-Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21),"Entonces el sistema restringe la transacción, notifica el faltante técnico y comunica la necesidad de iniciar un proceso de reabastecimiento.",INV-006,37
Devolución de Material No Usado (Return to Stock),AC-INV-006-38,Cuando registra la devolución técnica indicando la orden de trabajo de origen y el motivo de la misma.,Dado que un equipo técnico ha finalizado una intervención y dispone de materiales retirados del almacén que no fueron instalados.,INV,INV-006: Gestión de Movimientos de Inventario (https://www.notion.so/INV-006-Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21),"Entonces el sistema reincorpora el material al inventario, genera los créditos financieros correspondientes a la orden de trabajo y documenta el movimiento en el historial.",INV-006,38
Alerta de Sobrestock por Devolución,AC-INV-006-39,Cuando se formaliza el registro de la devolución técnica en el sistema.,Dado que el ingreso de material por devolución superaría los límites de capacidad máxima definidos para un ítem.,INV,INV-006: Gestión de Movimientos de Inventario (https://www.notion.so/INV-006-Gesti-n-de-Movimientos-de-Inventario-2c587c56a82880ef9af8f239049c4b3c?pvs=21),Entonces el sistema acepta la transacción pero emite una alerta de excedente de capacidad para la revisión de los procesos de compra pendientes.,INV-006,39
Validación y Activación de Activo,AC-INV-007-40,"Cuando el personal de ingeniería completa los parámetros técnicos obligatorios (identificación, manuales y modelos asociados) y autoriza el cambio de estado a operativo.",Dado que existe un registro preliminar de un equipo técnico pendiente de revisión.,INV,INV-007: Validación y Alta de Activos Nuevos (https://www.notion.so/INV-007-Validaci-n-y-Alta-de-Activos-Nuevos-2c587c56a828803886b0efd1148ce6b4?pvs=21),"Entonces el activo se formaliza en el sistema, se habilita su visualización técnica y queda disponible para la asignación de planes de mantenimiento preventivo.",INV-007,40
Rechazo de Activo Incompleto,AC-INV-007-41,Cuando el evaluador selecciona la opción de rechazo y documenta el motivo técnico de la devolución.,Dado que durante la revisión técnica de un nuevo activo se detectan inconsistencias documentales o falta de datos críticos de ingeniería.,INV,INV-007: Validación y Alta de Activos Nuevos (https://www.notion.so/INV-007-Validaci-n-y-Alta-de-Activos-Nuevos-2c587c56a828803886b0efd1148ce6b4?pvs=21),"Entonces el registro se marca para revisión administrativa, se genera un comentario detallando el hallazgo y se notifica automáticamente al personal responsable del ingreso inicial para su corrección.",INV-007,41
Alerta Inmediata para Item Clase A (Crítico),AC-INV-021-42,Cuando el sistema identifica la condición de bajo stock tras una actualización de saldos o validación periódica.,Dado que un repuesto de alta criticidad (Clase A) presenta un saldo disponible por debajo de su nivel mínimo de seguridad.,INV,INV-021: Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/INV-021-Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21),"Entonces el sistema genera una alerta de prioridad máxima, centraliza la notificación en el panel operativo y presenta el requerimiento de forma destacada.",INV-021,42
Alerta Normal para Item Clase B,AC-INV-021-43,Cuando el sistema identifica la necesidad de reabastecimiento tras una transacción de almacén.,Dado que un repuesto de criticidad media (Clase B) alcanza su umbral de reposición definido.,INV,INV-021: Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/INV-021-Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21),Entonces el sistema emite una notificación de prioridad media y programa el requerimiento para su revisión en el próximo ciclo de planificación.,INV-021,43
Lista de Compra Semanal para Item Clase C,AC-INV-021-44,Cuando el sistema identifica la condición de bajo stock para estos ítems.,Dado que existen repuestos de baja criticidad (Clase C) con niveles de stock por debajo del mínimo operativo.,INV,INV-021: Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/INV-021-Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21),"Entonces el sistema consolida los requerimientos en una agenda de adquisiciones semanales, evitando la saturación de alertas individuales por materiales no críticos.",INV-021,44
Pre-llenado de Orden de Compra,AC-INV-021-45,Cuando el personal responsable solicita la creación de un requerimiento de compra desde la alerta.,Dado que existe una alerta activa para un repuesto y se requiere iniciar el proceso de adquisición.,INV,INV-021: Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/INV-021-Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21),"Entonces el sistema prepara automáticamente la información del requerimiento, calculando la cantidad sugerida de reposición y referenciando los proveedores históricos asociados.",INV-021,45
Resolución de Alerta,AC-INV-021-46,Cuando el sistema formaliza el ingreso de los nuevos materiales mediante un registro de recepción.,Dado que el nivel de inventario de un repuesto se ha restablecido por encima de sus límites de seguridad.,INV,INV-021: Monitor de Reabastecimiento (Stock Alerts) (https://www.notion.so/INV-021-Monitor-de-Reabastecimiento-Stock-Alerts-2c687c56a828802bbe9fd7359783631f?pvs=21),"Entonces el sistema cierra automáticamente la alerta activa, documenta la resolución en el historial y comunica la normalización del estado del inventario.",INV-021,46
Crear Ubicación Raíz (Planta),AC-INV-027-47,Cuando se procede con el registro de una ubicación de nivel superior (ej. Instalación o Planta).,Dado que el personal técnico se encuentra en la interfaz de gestión de taxonomía industrial.,INV,INV-027: Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/INV-027-Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21),Entonces el sistema crea el nodo raíz de la jerarquía técnica y habilita la incorporación de niveles operativos dependientes.,INV-027,47
Crear Ubicación Hija (Sección/Sistema),AC-INV-027-48,Cuando se registra una nueva posición técnica vinculada a un nodo existente.,Dado que ya se ha definido una ubicación de nivel superior en la estructura organizacional.,INV,INV-027: Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/INV-027-Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21),Entonces el sistema formaliza la relación jerárquica y presenta la nueva ubicación anidada correctamente en el árbol de activos.,INV-027,48
Validación de Tag Único,AC-INV-027-49,Cuando se intenta registrar una nueva ubicación utilizando el mismo identificador.,Dado que un identificador técnico (Tag) ya se encuentra asignado a una ubicación funcional en el sistema.,INV,INV-027: Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/INV-027-Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21),Entonces el sistema restringe la creación y comunica una advertencia de conflicto de identidad para asegurar la unicidad de la taxonomía.,INV-027,49
Prevención de Ciclos,AC-INV-027-50,Cuando el usuario intenta realizar un movimiento estructural que generaría una recursividad infinita (ej. hacer al padre hijo de su propio descendiente).,Dado que existe una relación jerárquica establecida entre dos o más niveles técnicos.,INV,INV-027: Creación de Ubicaciones Funcionales (Functional Locations) (https://www.notion.so/INV-027-Creaci-n-de-Ubicaciones-Funcionales-Functional-Locations-30a87c56a82880e3a799fb6f65d7aae2?pvs=21),Entonces el sistema bloquea la acción para preservar la integridad lógica de la jerarquía y notifica la inconsistencia detectada.,INV-027,50
Creación Exitosa de Repuesto Stock,AC-INV-031-51,"Cuando registra los datos técnicos del repuesto (identificación, descripción, fabricante y clasificación) y formaliza la operación.",Dado que el Jefe de Almacén se encuentra en la interfaz de gestión de catálogo de materiales.,INV,INV-031: Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/INV-031-Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21),"Entonces el sistema integra el nuevo repuesto al catálogo maestro, comunica el éxito del registro y presenta la ficha técnica consolidada de la parte.",INV-031,51
Validación de Duplicados (Gatekeeper),AC-INV-031-52,Cuando el personal administrativo intenta incorporar un repuesto similar.,Dado que ya existe un registro de material con características técnicas coincidentes en el sistema.,INV,INV-031: Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/INV-031-Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21),Entonces el sistema identifica la posible redundancia y emite una notificación de advertencia sugiriendo la reutilización del registro existente para prevenir la duplicidad en el catálogo.,INV-031,52
Distinción Stock vs. Direct Purchase,AC-INV-031-53,Cuando se formaliza el registro del repuesto en el sistema.,Dado que el personal responsable clasifica un material para adquisición directa (sin almacenamiento).,INV,INV-031: Gestión de Catálogo de Repuestos (Part Master) (https://www.notion.so/INV-031-Gesti-n-de-Cat-logo-de-Repuestos-Part-Master-30c87c56a828806281dbcd3c07b7ec73?pvs=21),"Entonces el sistema adapta la interfaz técnica, ocultando los parámetros de almacenamiento y comunicando la naturaleza operativa de compra directa del material.",INV-031,53
