Description,Global ID,ISO 25010:2023 Category,Last Edited,Last Edited By,Normative Reference,Priority,Related Story,Req ID,Status,TR,TR ID,Type
"The closure form shall allow selecting and saving the Maintainable Item (Level 8), Failure Mode, Failure Mechanism, and Failure Cause, strictly using the ISO 14224 taxonomy.",11,Functional Suitability,"September 24, 2026 7:36 AM",juan david julio serrano,ISO 14224 failure data and taxonomies,High,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),FR-011,Approved,,,FR
The system shall block the Work Order status transition until mandatory taxonomy fields are completed; it shall display a specific error message if fields are missing to enforce ISO 14224 compliance.,12,Functional Suitability,"September 24, 2026 7:36 AM",juan david julio serrano,ISO 14224 mandatory data constraints,High,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),FR-012,Approved,,,FR
The system shall allow attaching multimedia (photo/video); files must be linked to the Work Order and remain visible to the Supervisor and Reliability Engineer.,13,Functional Suitability,"September 24, 2026 7:36 AM",juan david julio serrano,SMRP Best Practices (CMMS Data Quality),Medium,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),FR-013,Approved,,,FR
"Upon form submission, the Work Order status shall transition to 'Pending Review', and an event notification shall be triggered for the Reliability Engineer.",14,Functional Suitability,"September 24, 2026 7:36 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,High,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),FR-014,Approved,,,FR
The local persistent storage must guarantee data integrity against unexpected shutdowns and support retry mechanisms.,15,Reliability,"September 24, 2026 7:36 AM",juan david julio serrano,Offline-First Design Principles (Google Developers),High,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),NFR-015,Approved,,,NFR
The system shall process operations on the mobile interface in under 2 seconds to prevent disrupting field workflow.,16,Performance Efficiency,"September 24, 2026 7:36 AM",juan david julio serrano,The High Performance HMI Handbook (Hollifield),Medium,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),NFR-016,Approved,,,NFR
The system must be compatible with standard mobile operating systems used in the industrial environment.,17,Flexibility,"September 24, 2026 7:36 AM",juan david julio serrano,W3C Mobile Web Application Best Practices / PWA Core Criteria,Medium,Digital WO Closure with ISO 14224 Taxonomy (https://app.notion.com/p/Digital-WO-Closure-with-ISO-14224-Taxonomy-39287c56a82880fc8cecd71f40e671d1?pvs=21),NFR-017,Approved,,,NFR
The system shall allow a Contractor to upload work reports in PDF or image format linked to a specific Work Order.,18,Functional Suitability,"September 24, 2026 7:38 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,High,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),FR-018,Approved,,,FR
"Upon file upload, the system shall require the selection of the Maintainable Item (Level 8) to which the report belongs, ensuring ISO 14224 hierarchical traceability.",19,Functional Suitability,"September 24, 2026 7:38 AM",juan david julio serrano,ISO 14224 failure data and taxonomies,High,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),FR-019,Approved,,,FR
"The system shall validate file formats against an authorized whitelist (e.g., PDF, JPG, PNG) and reject unauthorized extensions to prevent malicious payloads.",20,Functional Suitability,"September 24, 2026 7:38 AM",juan david julio serrano,OWASP Secure Coding Practices (File Upload Validation),High,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),FR-020,Approved,,,FR
The system shall send an automated notification to the assigned Supervisor when a new report is uploaded to a Work Order under their purview.,21,Functional Suitability,"September 24, 2026 7:38 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,Medium,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),FR-021,Approved,,,FR
"The system shall allow the Supervisor to view, download, and approve/reject uploaded reports directly from the Work Order review interface.",22,Functional Suitability,"September 24, 2026 7:38 AM",juan david julio serrano,Wireman Vol 4 - The Core CMMS Engine,High,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),FR-022,Approved,,,FR
The system shall allow users to filter attached documents by Maintainable Item within the Work Order view.,23,Functional Suitability,"September 24, 2026 7:38 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Information Filtering,Low,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),FR-023,Approved,,,FR
The system shall allow the Contractor to delete an erroneously uploaded file PROVIDED THAT the Work Order has not yet been submitted for review.,24,Functional Suitability,"September 24, 2026 7:38 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - 10 Usability Heuristics (User Control and Freedom),Medium,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),FR-024,Approved,,,FR
The system shall support files up to 50 MB per individual upload.,25,Performance Efficiency,"September 24, 2026 7:39 AM",juan david julio serrano,ISO/IEC 25010:2023 - Performance Efficiency (Capacity),Medium,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),NFR-025,Approved,,,NFR
The upload processing and confirmation time must be < 5 seconds under normal network conditions.,26,Performance Efficiency,"September 24, 2026 7:39 AM",juan david julio serrano,ISO/IEC 25010:2023 - Performance Efficiency (Time behavior),Medium,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),NFR-026,Approved,,,NFR
The document storage infrastructure must feature redundancy to prevent the loss of critical technical evidence.,27,Reliability,"September 24, 2026 7:39 AM",juan david julio serrano,ISO/IEC 25010:2023 - Reliability (Recoverability),High,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),NFR-027,Approved,,,NFR
The upload interface shall be fully functional and maintain visual consistency across both desktop browsers and mobile devices.,28,Interaction Capability,"September 24, 2026 7:39 AM",juan david julio serrano,W3C Responsive Web Design (RWD) Guidelines,Medium,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),NFR-028,Approved,,,NFR
The system shall perform automated malware scanning on all uploaded files before allowing them to be viewed or downloaded by other users.,29,Security,"September 24, 2026 7:39 AM",juan david julio serrano,OWASP Application Security Verification Standard (V12),Low,Contractor Report Upload (https://app.notion.com/p/Contractor-Report-Upload-39287c56a828804b8a4ef436e62077bb?pvs=21),NFR-029,Approved,,,NFR
The Supervisor can initiate automatic extraction via the corresponding function in the Work Order attachment management interface.,30,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - AI and UI Guidelines (HITL),High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-030,Approved,,,FR
"The system shall analyze the digital document to extract: labor hours, bill of materials, and a technical summary of the work.",31,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,ISO 55000: Asset Management - Information Requirements,High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-031,Approved,,,FR
"The processing engine shall return a dataset containing technical confidence levels for each extracted field, alongside a brief justification of the result.",32,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,Google Cloud AI Architecture Guidelines (Confidence Scoring),High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-032,Approved,,,FR
"If the technical confidence meets the configured threshold, the system shall pre-fill the Work Order fields and display visual indicators denoting data quality.",33,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,ISO 55000: Asset Management - Data Quality Assurance,High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-033,Approved,,,FR
"If technical confidence is insufficient, the system shall require mandatory manual confirmation from the Supervisor before allowing the information to be saved.",34,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - AI and UI Guidelines (HITL),High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-034,Approved,,,FR
"If a critical field is not identified in the document, the system shall notify the user of the missing information and enable the field for manual entry.",35,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - 10 Usability Heuristics (Error Recovery),High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-035,Approved,,,FR
The Supervisor shall have the final authority to edit or correct any automatically retrieved data prior to formalizing the Work Order closure.,36,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - AI and UI Guidelines (HITL),Medium,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-036,Approved,,,FR
"If the processing service is temporarily unavailable, the system shall implement automatic retries and ultimately notify the user to proceed manually.",37,Functional Suitability,"September 24, 2026 7:41 AM",juan david julio serrano,ISO/IEC 25010:2023 - Reliability (Fault Tolerance),Medium,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),FR-037,Approved,,,FR
The extraction processing must complete in < 15 seconds to avoid degrading supervisor productivity.,38,Performance Efficiency,"September 24, 2026 7:41 AM",juan david julio serrano,ISO/IEC 25010:2023 - Performance Efficiency (Time behavior),High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),NFR-038,Approved,,,NFR
The processing engine parameters must guarantee deterministic and reproducible results for identical data inputs.,39,Reliability,"September 24, 2026 7:41 AM",juan david julio serrano,ISO 55000: Asset Management - Data Quality Assurance,High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),NFR-039,Approved,,,NFR
Access credentials for external intelligence services must be managed securely and never exposed within the application logic.,40,Security,"September 24, 2026 7:41 AM",juan david julio serrano,OWASP Secure Coding Practices (Credential Management),High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),NFR-040,Approved,,,NFR
"The system must structurally prohibit the automatic saving of data with low technical confidence, forcing human intervention as a data integrity control measure.",41,Security,"September 24, 2026 7:41 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - AI and UI Guidelines (HITL),High,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),NFR-041,Approved,,,NFR
The processing service must implement mitigation mechanisms (fallbacks) to handle potential outages of the external intelligence provider.,42,Reliability,"September 24, 2026 7:41 AM",juan david julio serrano,ISO/IEC 25010:2023 - Reliability (Recoverability),Medium,Automatic Report Data Extraction (https://app.notion.com/p/Automatic-Report-Data-Extraction-39287c56a828809c946bf3e5356cc056?pvs=21),NFR-042,Approved,,,NFR
"On the detail screen of an Equipment Unit or component, the system shall display a documentation section with the list of manuals, blueprints, and guides associated with that hierarchical level.",43,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,"ISO 14224:2016, Section 6 — Taxonomy",High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),FR-043,Approved,,,FR
"Each document must present descriptive metadata: title, version, update date, and local availability status.",44,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,ISO 9001 — Documented Information Control,High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),FR-044,Approved,,,FR
"The system shall allow the visualization of technical documents via an integrated viewer, without requiring the user to be redirected to an external application.",45,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Interaction Design Best Practices,High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),FR-045,Approved,,,FR
"The document viewer must support basic navigation functions: scale adjustment (zoom), panning between pages, and term search.",46,Interaction Capability,"September 24, 2026 9:02 AM",juan david julio serrano,W3C Web Content Accessibility Guidelines (WCAG),High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-046,Approved,,,NFR
The system shall allow the Technician to individually mark documents for offline consultation. The system shall visually confirm when the document is available locally.,47,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Offline-First Design Principles,High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),FR-047,Approved,,,FR
"The system shall allow searching by technical terms within the list of documents associated with an Equipment Unit, prioritizing locally available results.",48,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Search & Discovery,High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),FR-048,Approved,,,FR
The system shall inform the user when the local storage of downloaded documents reaches the capacity limit defined for the application.,49,Performance Efficiency,"September 24, 2026 9:02 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Visibility of System Status,Medium,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-049,Approved,,,NFR
"The system shall verify the validity of the document version whenever connectivity exists, notifying if an update is available in the central repository.",50,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Offline-First Design Principles (Delta Sync),High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),FR-050,Approved,,,FR
"If a document is withdrawn from the central repository, the system shall maintain the local version indicating its outdated or withdrawn status to avoid leaving the technician without reference.",51,Reliability,"September 24, 2026 9:02 AM",juan david julio serrano,Graceful Degradation Patterns,Medium,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-051,Approved,,,NFR
The opening of locally stored documents must complete in < 2 seconds to guarantee operational fluidity.,52,Performance Efficiency,"September 24, 2026 9:02 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-052,Approved,,,NFR
The local search engine must return results in < 1 second for the end user.,53,Performance Efficiency,"September 24, 2026 9:02 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-053,Approved,,,NFR
The verification of document versions must be performed in the background without impacting the interface's interactivity.,54,Performance Efficiency,"September 24, 2026 9:02 AM",juan david julio serrano,Asynchronous Worker Patterns,High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-054,Approved,,,NFR
"The document viewer must maintain the reading state (current page, zoom level) upon device orientation changes.",55,Interaction Capability,"September 24, 2026 9:02 AM",juan david julio serrano,Web Rendering Optimization Standards,Low,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-055,Approved,,,NFR
The system must support the automatic resumption of downloads in the event of network connectivity interruptions.,56,Reliability,"September 24, 2026 9:02 AM",juan david julio serrano,Enterprise Integration Patterns (Retry Mechanisms),High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-056,Approved,,,NFR
The query interface must be compatible with the mobile devices and operating systems defined in the plant's standards.,57,Flexibility,"September 24, 2026 9:02 AM",juan david julio serrano,Responsive Web Design Standards,High,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),NFR-057,Approved,,,NFR
The system shall automatically retrieve the numerical value of the Equipment Unit Criticality (scale 1 to 10) statically registered in the affected equipment's record.,58,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Standard EAM / RIME Methodology,High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-058,Approved,,,FR
"The Work Request creation form shall require the mandatory selection of the Work Class, associating the corresponding standardized numerical weight (1 to 10).",59,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Standard EAM / RIME Methodology,High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-059,Approved,,,FR
The system shall calculate the RIME score by delegating the operation to the configurable prioritization engine under the adopted RIME industrial standard (see ADR-002).,60,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Standard EAM / RIME Methodology,High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-060,Approved,,,FR
"The system shall classify and visually differentiate requests into priority bands according to their score (e.g., >80: Emergency, 50-79: High, 20-49: Normal, <20: Low).",61,Interaction Capability,"September 24, 2026 9:02 AM",juan david julio serrano,The High Performance HMI Handbook,High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),NFR-061,Approved,,,NFR
"The management dashboard shall organize requests descending by RIME Score, restricting manual alteration of the order to authorized profiles (Supervisors).",62,Security,"September 24, 2026 9:02 AM",juan david julio serrano,NIST SP 800-192 (RBAC Framework),High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),NFR-062,Approved,,,NFR
"Each request presented in the system must display its priority metadata, affected Equipment Unit, intervention type, and estimated costs.",65,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Standard EAM / RIME Methodology,High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-065,Approved,,,FR
"The system shall allow querying the technical breakdown of the priority calculation, referencing the industrial standards applicable to each factor.",66,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,ISO/IEC 25010:2023 — Functional Suitability (Appropriateness),Low,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-066,Approved,,,FR
"The system shall provide advanced filtering capabilities by priority category, Functional Location, and date ranges.",67,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Nielsen Norman Group (NN/g) - Information Filtering,High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-067,Approved,,,FR
The system shall generate grouping recommendations when it detects multiple pending priority interventions on the same physical Equipment Unit.,68,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Reliability-Centered Maintenance (RCM) Principles,Medium,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-068,Approved,,,FR
The prioritized backlog information may be exported in structured formats for analysis in external tools.,69,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Data Portability Principles,Medium,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-069,Approved,,,FR
The RIME Score calculation upon changes in the Work Class must be performed in <100ms in the user interface.,70,Performance Efficiency,"September 24, 2026 9:02 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),NFR-070,Approved,,,NFR
The operational dashboard visualization must maintain a response of < 2 seconds with large volumes of information.,71,Performance Efficiency,"September 24, 2026 9:02 AM",juan david julio serrano,ISO/IEC 25010:2023 — Performance Efficiency (Time behavior),High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),NFR-071,Approved,,,NFR
The master configuration parameters of the prioritization model must be versioned and protected against unauthorized access.,72,Security,"September 24, 2026 9:02 AM",juan david julio serrano,NIST SP 800-53 (Configuration Management),High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),NFR-072,Approved,,,NFR
The visibility of technical priority scores shall be restricted to the roles defined in the system's governance policy.,73,Security,"September 24, 2026 9:02 AM",juan david julio serrano,NIST SP 800-192 (RBAC Framework),High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),NFR-073,Approved,,,NFR
The calculation engine must be deterministic: the same inputs for equipment criticality and work class must produce identical scores throughout the system.,74,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,ISO/IEC 25010:2023 — Functional Suitability (Accuracy),High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-074,Approved,,,FR
The system shall automatically recalculate priorities upon changes in the criticality of master equipment to keep the backlog updated.,75,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,ACID Database Transaction Properties (Consistency),High,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-075,Approved,,,FR
Significant changes in the priority category of an intervention must automatically notify the responsible planning personnel.,76,Functional Suitability,"September 24, 2026 9:02 AM",juan david julio serrano,Enterprise Integration Patterns (Publish-Subscribe),Medium,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),FR-076,Approved,,,FR
