Scenario,AC ID,Epic,Given (Context),Then (Result),US ID,UUID,User Story,When (Action)
Counter reset tracking,AC-MTTO-020-18,MTTO,Given a preventive Work Order triggered by usage has been closed.,Then the system records the reset of the cycle counter and logs the zero-point for the next iteration.,MTTO-020,18,Mobile Manuals Consultation (https://app.notion.com/p/Mobile-Manuals-Consultation-39287c56a828803fab05e33553e2e1b8?pvs=21),When the Technician confirms the replacement of the component.
RIME score calculation,AC-MTTO-026-19,MTTO,Given an Equipment Unit has a Criticality index of 8.,Then the system automatically assigns a RIME priority score of 40 to the task.,MTTO-026,19,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),When a Work Request is created with a Work Class index of 5.
Backlog sorting,AC-MTTO-026-20,MTTO,Given the programming staff queries the pending tasks board.,Then the interventions with the highest RIME Score (scale 1 to 100) automatically appear at the top section of the backlog.,MTTO-026,20,Backlog Management via Objective Prioritization (RIME) (https://app.notion.com/p/Backlog-Management-via-Objective-Prioritization-RIME-39287c56a82880269cbbe29b3f6e2313?pvs=21),When the system loads the list of work orders.
Question answered with source reference,AC-MTTO-028-21,MTTO,Given the Technician is performing a technical intervention and opens the intelligence assistant interface.,"Then the engine responds with the retrieved technical information and provides the exact reference (document, page, and section) for manual validation.",MTTO-028,21,AI Documentation Consultation Assistant (RAG) (https://app.notion.com/p/AI-Documentation-Consultation-Assistant-RAG-39287c56a82880468987d59d8b4bda42?pvs=21),When they ask about a specific technical specification contained in the equipment manuals.
Out of context question,AC-MTTO-028-22,MTTO,Given the Technician requests information unrelated to the available technical knowledge base.,Then the assistant communicates that it does not have reliable information in current manuals and suggests consulting the supervisor or reviewing physical documentation.,MTTO-028,22,AI Documentation Consultation Assistant (RAG) (https://app.notion.com/p/AI-Documentation-Consultation-Assistant-RAG-39287c56a82880468987d59d8b4bda42?pvs=21),When they perform a general or out-of-domain query.
Offline query fallback,AC-MTTO-028-23,MTTO,Given the operational staff is in an area without network connectivity.,Then the system informs that the assistant is unavailable offline and presents the local search interface to query downloaded manuals.,MTTO-028,23,AI Documentation Consultation Assistant (RAG) (https://app.notion.com/p/AI-Documentation-Consultation-Assistant-RAG-39287c56a82880468987d59d8b4bda42?pvs=21),When they attempt to use the intelligence assistant.
Query audit log,AC-MTTO-028-24,MTTO,Given a query to the intelligence assistant was made during an intervention.,"Then they view the query log including the timestamp, technical question, and document sources referenced by the engine.",MTTO-028,24,AI Documentation Consultation Assistant (RAG) (https://app.notion.com/p/AI-Documentation-Consultation-Assistant-RAG-39287c56a82880468987d59d8b4bda42?pvs=21),When the supervisor reviews the work order history.
Boundaries registration in Equipment Record,AC-MTTO-029-25,MTTO,Given the Reliability Engineer is configuring the technical parameters of a Level 6 equipment unit.,Then the system confirms the successful boundary registration and the selected components are officially integrated into the equipment's technical record.,MTTO-029,25,Equipment Physical Boundaries Definition (https://app.notion.com/p/Equipment-Physical-Boundaries-Definition-39287c56a82880e99f1ffa847adffe20?pvs=21),When they record the physical boundary points and select the Level 8 components belonging to the equipment.
Component uniqueness validation,AC-MTTO-029-26,MTTO,Given a technical component is already assigned to the boundaries of an operational equipment unit.,Then the system issues a hierarchical conflict notification and blocks the operation to prevent inconsistencies in the equipment database.,MTTO-029,26,Equipment Physical Boundaries Definition (https://app.notion.com/p/Equipment-Physical-Boundaries-Definition-39287c56a82880e99f1ffa847adffe20?pvs=21),When the technical staff attempts to link that same component to a different equipment unit in the hierarchy.
Boundaries visualization,AC-MTTO-029-27,MTTO,Given a user queries the technical record of an equipment unit in the operational app.,Then they view the technical description of the physical boundaries and the complete list of components that make up the operational unit.,MTTO-029,27,Equipment Physical Boundaries Definition (https://app.notion.com/p/Equipment-Physical-Boundaries-Definition-39287c56a82880e99f1ffa847adffe20?pvs=21),When they access the boundaries and included components section.
Active warranty alert,AC-MTTO-030-28,MTTO,Given an operational equipment unit has valid warranty coverage according to system records.,"Then the system interrupts the operational flow with a warning notification, informing about the active warranty and suggesting initiating a claim.",MTTO-030,28,Equipment Warranty Management (https://app.notion.com/p/Equipment-Warranty-Management-39287c56a828800bad35fe08388528a1?pvs=21),When the technical staff attempts to initiate the registration of a corrective intervention for that equipment.
Conversion to claim,AC-MTTO-030-29,MTTO,Given an active warranty notification was issued during work order management.,"Then the system adapts the operational interface, hiding internal cost fields and presenting the manufacturer's contact info and coverage terms.",MTTO-030,29,Equipment Warranty Management (https://app.notion.com/p/Equipment-Warranty-Management-39287c56a828800bad35fe08388528a1?pvs=21),When the responsible user chooses to formalize a technical claim with the provider.
Justified bypass,AC-MTTO-030-30,MTTO,Given an active warranty notification was issued.,Then the system demands the entry of a mandatory technical justification before allowing the formalization of the work order.,MTTO-030,30,Equipment Warranty Management (https://app.notion.com/p/Equipment-Warranty-Management-39287c56a828800bad35fe08388528a1?pvs=21),When the responsible user decides to proceed with internal maintenance despite the active coverage.
Successful creation with minimum fields,AC-INV-005-31,INV,Given the Project Engineer is on the new equipment unit registration interface.,"Then the system formalizes the equipment unit registration, communicates the operation's success, and presents the newly created equipment's technical record.",INV-005,31,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),"When they fill out the mandatory technical fields (identification, class, manufacturer, and operational dates) and request to save."
Duplicate Tag prevention,AC-INV-005-32,INV,Given the industrial identifier (Tag) is already assigned to an existing equipment unit in the system.,Then the system issues a warning notification indicating the identifier is already in use and suggests reviewing the existing record.,INV-005,32,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),When the technical staff attempts to register a new equipment unit using the same identifier.
Mandatory fields validation,AC-INV-005-33,INV,Given the creation of a new operational equipment unit is underway.,"Then the system restricts the save action, highlights missing fields, and notifies about the failure to comply with ISO 14224 information requirements.",INV-005,33,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),When the user attempts to finalize the registration omitting mandatory technical classification (e.g. Equipment Class).
Date coherence validation,AC-INV-005-34,INV,Given the technical staff enters the equipment's operational chronology.,Then the system detects the temporal inconsistency and communicates an integrity warning to ensure historical data accuracy.,INV-005,34,Equipment Unit Technical Record Creation (https://app.notion.com/p/Equipment-Unit-Technical-Record-Creation-39287c56a82880d28210feaf39964894?pvs=21),When an operation start date is registered that is prior to the equipment's acquisition or purchase date.
Material Receipt (Inbound),AC-INV-006-35,INV,Given a critical spare parts order has been received at the storage facilities.,"Then the system increases the physical inventory levels, records the chronological transaction, and communicates the successful receipt confirmation.",INV-006,35,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),"When the responsible staff formalizes the inbound by specifying the spare part, quantity received, and technical location in the warehouse."
Inconsistent cost notification,AC-INV-006-36,INV,Given the Warehouse Manager processes a receipt for an order with discrepancies in the reference unit price.,Then the system records the physical inventory entry but generates an administrative alert for cost evaluation.,INV-006,36,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),When they complete the material receipt transaction.
Material Transfer (Warehouse to Warehouse),AC-INV-006-37,INV,Given two distinct functional storage locations are established.,"Then the system updates the inventory levels simultaneously in both locations, maintaining global balance integrity.",INV-006,37,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),When the Warehouse Manager executes a stock transfer between locations.
Missing critical documentation alert,AC-INV-006-38,INV,Given an equipment unit is in the 'Onboarding' phase.,Then the system blocks the activation and demands the required documentation to ensure ISO 14224 compliance.,INV-006,38,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),When the Project Engineer attempts to activate the equipment without attaching the manufacturer's manual.
Quality review audit trail,AC-INV-006-39,INV,Given the Project Engineer approves an equipment unit.,"Then the system records the author, timestamp, and review status in the equipment's permanent audit log.",INV-006,39,Inventory Movement Management (https://app.notion.com/p/Inventory-Movement-Management-39287c56a82880d38f1ff79e90caf2be?pvs=21),When the status transition is completed.
Operational limit validation,AC-INV-007-40,INV,Given an equipment unit is pending validation.,"Then the system rejects the approval, highlighting that physical boundaries are a mandatory prerequisite.",INV-007,40,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),When the Project Engineer attempts to approve it with undefined functional boundaries.
Critical stock threshold breach,AC-INV-007-41,INV,Given the stock level for a Class A spare part drops below the Reorder Point.,Then an automated alert is triggered to the purchasing department for immediate replenishment.,INV-007,41,New Equipment Unit Validation and Onboarding (https://app.notion.com/p/New-Equipment-Unit-Validation-and-Onboarding-39287c56a8288002a1e2fe57718cda8d?pvs=21),When the transaction is processed by the system.
Overstock warning,AC-INV-021-42,INV,Given the stock level for a spare part exceeds the defined Maximum Stock limit.,Then the system logs the transaction but flags the event as an overstock anomaly.,INV-021,42,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),When a material receipt is recorded.
ABC Classification Filter,AC-INV-021-43,INV,Given the Warehouse Manager accesses the replenishment monitor.,Then the system exclusively displays high-impact items that are near or below their safety stock threshold.,INV-021,43,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),When they filter by 'Class A' criticality.
Demand-driven dynamic alert,AC-INV-021-44,INV,Given an upcoming scheduled Work Order reserves a specific spare part quantity.,Then it issues a pre-emptive alert if the projected stock falls below the Reorder Point before the intervention date.,INV-021,44,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),When the system calculates the projected available stock.
Successful Equipment Swap execution,AC-INV-021-45,INV,Given a failed equipment unit needs replacement at a specific Functional Location.,"Then the system records the equipment transition, preserves the Functional Location's reliability history, and updates the physical location of both units.",INV-021,45,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),When the Planner unlinks the current equipment unit and links an identical available equipment unit from the warehouse.
Incompatible equipment swap prevention,AC-INV-021-46,INV,Given a Planner attempts an equipment swap.,"Then the system blocks the swap, warning about a classification mismatch.",INV-021,46,Replenishment Monitor (Stock Alerts) (https://app.notion.com/p/Replenishment-Monitor-Stock-Alerts-39287c56a828807b9387f498d94f6f6b?pvs=21),When they try to link an equipment unit of a different Technical Class to the Functional Location.
Status update post-swap,AC-INV-027-47,INV,Given a successful equipment swap has been executed.,Then the removed equipment unit is automatically assigned a 'Workshop' or 'Pending Repair' status.,INV-027,47,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),When the system finalizes the transaction.
Audit trail for physical movement,AC-INV-027-48,INV,Given an equipment swap is performed.,Then they see the exact timestamps and locations for both the unlinked and newly linked equipment units.,INV-027,48,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),When the Auditor reviews the equipment's history.
Valid Functional Location creation,AC-INV-027-49,INV,Given the Administrator is setting up the plant's operational structure.,"Then the system creates the location, making it available for equipment unit assignment.",INV-027,49,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),When they create a Functional Location ensuring it has a unique alphanumeric ID and an assigned superior hierarchy level.
Functional Location duplication prevention,AC-INV-027-50,INV,Given a Functional Location with the ID 'ZON-01' already exists.,Then the system blocks the creation and displays a uniqueness error.,INV-027,50,Functional Locations Creation (https://app.notion.com/p/Functional-Locations-Creation-39287c56a8288099bd87f70c2e4837b5?pvs=21),When the Administrator attempts to create a new location with the exact same ID.
Orphan location validation,AC-INV-031-51,INV,Given the Administrator is configuring a Functional Location.,Then the system requires the parent assignment to comply with the ISO 14224 hierarchical structure.,INV-031,51,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),When they attempt to save it without assigning a parent location (except for the root Plant level).
Master catalog item creation,AC-INV-031-52,INV,Given the Warehouse Manager registers a new spare part.,"Then the system generates the Part Master record, standardizing the material across the plant.",INV-031,52,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),"When they input the Commodity Code, description, manufacturer, and ABC class."
Stock vs. Direct Purchase distinction,AC-INV-031-53,INV,Given the responsible staff classifies a material for direct acquisition (no storage).,"Then the system adapts the technical interface, hiding storage parameters and communicating the direct purchase operational nature of the material.",INV-031,53,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),When the spare part registration is formalized in the system.
Hierarchical Commodity Code selection,AC-INV-031-54,INV,Given the taxonomic classification of a spare part is underway according to its technical family.,"Then the system only presents technically valid sub-categories based on the selected superior level, ensuring accurate and standardized classification.",INV-031,54,Part Master Catalog Management (https://app.notion.com/p/Part-Master-Catalog-Management-39287c56a82880e5b7c9dd7991c3cb47?pvs=21),When the user opens the material category selector.
Safety layer activation (Visual Redundancy),AC-VIS-008-55,VIS,Given the Inspector is viewing the general plant map (Level 1).,"Then the system overlays icons over the affected equipment units, using redundant coding (Color + Shape): Hot Work: Red Square. Working at Heights: Blue Triangle. Confined Space: Yellow Circle.",VIS-008,55,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),When they activate the 'Work Permits' layer.
Contextual Query (Information Breakdown),AC-VIS-008-56,VIS,Given a 'Hot Work' icon is shown over pump P-202.,"Then a compact card is displayed (without obscuring context) with: Contractor, Start/End Time, and HSEQ Responsible.",VIS-008,56,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),When the Inspector clicks on the icon.
Integrity Validation (Orphan Detection),AC-VIS-008-57,VIS,Given there is an active Work Permit associated with Tag 'V-101'.,Then the system generates a 'Compromised Safety Integrity' alert in the notification panel and displays the permit in a lateral 'Visualization Failures' list so it does not go unnoticed.,VIS-008,57,Work Permit Layer Visualization (https://app.notion.com/p/Work-Permit-Layer-Visualization-39287c56a8288049aec5de9a1b599c94?pvs=21),When the system attempts to render the icon in the 2D/3D Digital Twin and detects that the object 'V-101' does not exist in the current geometry or layout (Broken Link).
Semantic Zoom (Breakdown),AC-VIS-009-58,VIS,Given the Supervisor is viewing the General Map (Level 1).,Then the system smoothly transitions from the general area layout to displaying individual equipment unit icons and finally to the equipment's technical detail (Level 3).,VIS-009,58,Hierarchical Navigation and Semantic Zoom (https://app.notion.com/p/Hierarchical-Navigation-and-Semantic-Zoom-39287c56a82880af983aeb6a89764f2c?pvs=21),When they zoom into the 'Boilers' area.
Navigation Limits,AC-VIS-009-59,VIS,Given the Supervisor has reached the maximum allowed detail level.,Then the view locks smoothly via a damping animation to prevent loss of visual context.,VIS-009,59,Hierarchical Navigation and Semantic Zoom (https://app.notion.com/p/Hierarchical-Navigation-and-Semantic-Zoom-39287c56a82880af983aeb6a89764f2c?pvs=21),When they attempt to zoom in further.
Return to Context (Zoom Out),AC-VIS-009-60,VIS,Given the Supervisor is inspecting a specific equipment unit in maximum detail.,"Then the camera zooms out until the entire process unit is shown, restoring peripheral vision of alarms and neighboring equipment statuses.",VIS-009,60,Hierarchical Navigation and Semantic Zoom (https://app.notion.com/p/Hierarchical-Navigation-and-Semantic-Zoom-39287c56a82880af983aeb6a89764f2c?pvs=21),When they select 'General View' or perform a fast zoom out.
Exploded View Activation,AC-VIS-010-61,VIS,Given the Technician has selected a pump in the viewer and the exploded model is available.,"Then the model parts separate visually with a fluid animation, allowing internal components like the shaft and bearings to be seen.",VIS-010,61,Exploded View Visualization (https://app.notion.com/p/Exploded-View-Visualization-39287c56a82880b9b318c66ced520ca6?pvs=21),When they select the 'View Exploded' option.
Internal Component Selection,AC-VIS-010-62,VIS,Given the equipment unit is in 'Exploded View' mode.,"Then the system highlights the component and displays a card with its name, part code, and inventory availability at the time of query.",VIS-010,62,Exploded View Visualization (https://app.notion.com/p/Exploded-View-Visualization-39287c56a82880b9b318c66ced520ca6?pvs=21),When the Technician selects a specific bearing.
Isolation Point Visualization,AC-VIS-011-63,VIS,Given the Technician has selected a Work Order on their device.,Then the Digital Twin highlights the energy route and the lockout points on the corresponding 2D/3D view.,VIS-011,63,Isolation Route (LOTO) and Active Lock Visualization (https://app.notion.com/p/Isolation-Route-LOTO-and-Active-Lock-Visualization-39287c56a82880378ba0c0670575efe9?pvs=21),When they activate the 'View LOTO Route' function.
Connection Validation,AC-VIS-011-64,VIS,Given the LOTO connection lines are displayed.,Then the system displays the panel tag (Tag) that matches the physical reality.,VIS-011,64,Isolation Route (LOTO) and Active Lock Visualization (https://app.notion.com/p/Isolation-Route-LOTO-and-Active-Lock-Visualization-39287c56a82880378ba0c0670575efe9?pvs=21),"When the Technician selects the suggested isolation point (e.g., Breaker)."
Start Lock due to Detected Energy,AC-VIS-011-65,VIS,Given the IoT simulator reports active energy levels above the safety threshold.,Then the system blocks the action in the interface and displays a clear hazard alert.,VIS-011,65,Isolation Route (LOTO) and Active Lock Visualization (https://app.notion.com/p/Isolation-Route-LOTO-and-Active-Lock-Visualization-39287c56a82880378ba0c0670575efe9?pvs=21),When the technician attempts to press 'Start Work'.
Zero Energy Validation,AC-VIS-011-66,VIS,Given the IoT simulator confirms there is no active energy at the isolation points.,Then the system allows changing the WO status to 'In Execution'.,VIS-011,66,Isolation Route (LOTO) and Active Lock Visualization (https://app.notion.com/p/Isolation-Route-LOTO-and-Active-Lock-Visualization-39287c56a82880378ba0c0670575efe9?pvs=21),When the technician confirms the physical lockout on the checklist.
Lock due to Telemetry Loss (Fail-Safe),AC-VIS-011-67,VIS,Given the system cannot establish communication with the zone's IoT telemetry source.,"Then the system preventively blocks the operation, informing that Zero Energy cannot be guaranteed due to lack of real-time data.",VIS-011,67,Isolation Route (LOTO) and Active Lock Visualization (https://app.notion.com/p/Isolation-Route-LOTO-and-Active-Lock-Visualization-39287c56a82880378ba0c0670575efe9?pvs=21),When the technician attempts to start work or confirm isolation.
Create a sub-component,AC-VIS-012-68,VIS,Given the Engineer is on the page of equipment unit 'Pump P-101' which has no defined components.,Then 'Electric Motor' must appear as a nested sub-item under 'Pump P-101' in the equipment tree.,VIS-012,68,3D Component Hierarchy Configuration (https://app.notion.com/p/3D-Component-Hierarchy-Configuration-39287c56a82880858eebc5a00515b69c?pvs=21),"When they click 'Add Component', name it 'Electric Motor', and assign code 'ME-01'."
Associate a 3D model to a component,AC-VIS-012-69,VIS,Given the Engineer is editing the properties of the 'Electric Motor' component.,Then the system must associate that 3D file with the component and display a thumbnail preview.,VIS-012,69,3D Component Hierarchy Configuration (https://app.notion.com/p/3D-Component-Hierarchy-Configuration-39287c56a82880858eebc5a00515b69c?pvs=21),When they use the 'Upload 3D Model' option and attach a motor.step file.
Hierarchical navigation,AC-VIS-012-70,VIS,Given the Technician is viewing the equipment unit 'Pump P-101' in the mobile app.,"Then the app must display the information and the 3D model specific to the 'Electric Motor', not the entire pump.",VIS-012,70,3D Component Hierarchy Configuration (https://app.notion.com/p/3D-Component-Hierarchy-Configuration-39287c56a82880858eebc5a00515b69c?pvs=21),When they click the exploded view and select the 'Electric Motor'.
Duplicate component creation attempt,AC-VIS-012-71,VIS,Given the Engineer is adding a component.,Then the system prevents the creation and displays a uniqueness error message.,VIS-012,71,3D Component Hierarchy Configuration (https://app.notion.com/p/3D-Component-Hierarchy-Configuration-39287c56a82880858eebc5a00515b69c?pvs=21),When they enter a code that already belongs to another component in the same equipment unit hierarchy.
Move component in the tree (Re-parenting),AC-VIS-012-72,VIS,Given a hierarchical tree with multiple defined components.,Then the system updates the hierarchical relationship and displays the component in its new nested position.,VIS-012,72,3D Component Hierarchy Configuration (https://app.notion.com/p/3D-Component-Hierarchy-Configuration-39287c56a82880858eebc5a00515b69c?pvs=21),"When the Engineer drags a component (e.g., 'Valve') and drops it under another parent component (e.g., 'Pipe')."
Custom Role Definition,AC-ADM-013-73,ADM,Given the Administrator is in the roles module.,"Then the system saves the role, ensuring any assigned user cannot modify or create records.",ADM-013,73,Role and Permission Matrix Management (Industrial RBAC) (https://app.notion.com/p/Role-and-Permission-Matrix-Management-Industrial-RBAC-39287c56a82880cb8ecbdb8f543ca3ba?pvs=21),When they create a new role 'External Auditor' and select only 'Read' permissions for Work Orders.
Attempt to exceed granted permissions,AC-ADM-013-74,ADM,Given a user with a 'Technician' role is authenticated.,"Then the system rejects the access and displays a 403 Forbidden error, logging the security event.",ADM-013,74,Role and Permission Matrix Management (Industrial RBAC) (https://app.notion.com/p/Role-and-Permission-Matrix-Management-Industrial-RBAC-39287c56a82880cb8ecbdb8f543ca3ba?pvs=21),When they attempt to access the 'Settings' module via URL manipulation.
