Name,Action,"Applicable TRs ",Benefit,Effort Points,Epic,ID,MoSCoW,Observations,Responsible,Review Status,Role (As a ..),US ID
Isolation Route (LOTO) and Active Lock Visualization,I want to visualize the energy isolation route (LOTO) on the 2D/3D Digital Twin and have the system block the start of work if it detects active energy.,"Real-Time Synchronization (https://app.notion.com/p/Real-Time-Synchronization-31887c56a828809e859be1c2fbc2c55f?pvs=21), HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21)","So that I can ensure the intervention is performed under Zero Energy conditions, preventing occupational accidents.",13,VIS,11,MUST,"This functionality constitutes the technological differentiator of the Digital Twin, combining graphic traceability of isolation points (Lockout/Tagout) with active lock logic that consumes sensor state telemetry. For the MVP, the IoT telemetry source will be an API simulator (mock) that emulates field data; the architecture is designed to replace this source with real hardware in later phases without rewriting the safety logic. This is documented as a proof of concept in the project's IEEE 830. Requires plant connectivity; offline mode does not apply.",juan david julio serrano,Approved,Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21),VIS-011
3D Component Hierarchy Configuration,"I want to define the component hierarchy of an equipment unit (e.g., Pump -> Motor -> Bearing) and associate a 3D model with each level.","ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21), HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21)",So that I can build the exploded view of the Digital Twin and allow technicians to access information on the specific component in the field.,5,VIS,12,COULD,"This administrative tool allows granular configuration of the equipment hierarchy, facilitating the construction of the multilevel Digital Twin. The storage architecture must support high-density 3D models without penalizing performance when accessing the relational metadata of the equipment tree. Although the MVP will operate with a simplified initial structure, this functionality guarantees the long-term viability and scalability of the Digital Twin.",juan david julio serrano,Approved,Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),VIS-012
Role and Permission Matrix Management (Industrial RBAC),"I want to define user roles with a granular permission matrix (Create, Edit, Delete, Approve, Close, Audit).",,So that I can ensure the segregation of duties required by ISO 55001 and prevent the same user from requesting and approving critical actions.,5,ADM,13,MUST,"This functionality is fundamental for system security and compliance with ISO 55001 (5.3), which requires authority and responsibility to be explicitly defined. In this phase, the base roles (Administrator, Planner, Technician, and Auditor) will be implemented with a granular permission matrix ensuring Segregation of Duties (SoD) and the principle of least privilege.",juan david julio serrano,Approved,System Administrator (https://app.notion.com/p/System-Administrator-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-013
User Management and Secure Life Cycle,"I want to manage the entire user life cycle (Create, Suspend, Restore, Reset Password) securely and auditably.",,So that I can protect access to the Digital Twin and ensure the traceability of actions performed by former employees.,3,ADM,14,MUST,"Guaranteeing secure access is the first step toward system integrity. Following the ISO 55001 (7.2) standard, the entire user life cycle will be managed, including anti-brute force policies and secure password recovery. The logical deletion (soft-delete) policy is mandatory to preserve the complete history of the audit.",juan david julio serrano,Approved,System Administrator (https://app.notion.com/p/System-Administrator-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-014
ERP Integration Configuration (Simulation),I want to configure the API connection with a simulated ERP instance (Mock Server or Odoo).,,So that I can demonstrate the automatic synchronization of inventory data and ensure that technical requisitions triggered by equipment conditions are correctly converted into financial purchasing processes in the ERP.,8,ADM,15,COULD,"To validate the industrial interoperability architecture under MIMOSA standards (OSA-EAI), a functional simulation will be implemented using a test server or an open-source instance. This will demonstrate the system's ability to synchronize inventory data with external platforms securely and scalably. Revision (2026-05-15) - Maintained as COULD for the MVP, focusing on compliance with ISO 27001 and the MIMOSA exchange standard.",juan david julio serrano,Approved,System Administrator (https://app.notion.com/p/System-Administrator-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-015
System Announcements Publishing,I want to publish a global or role-based announcement.,"Immutable Audit (https://app.notion.com/p/Immutable-Audit-31887c56a82880d393b1ddb5c150be69?pvs=21), RBAC Authentication and Authorization (https://app.notion.com/p/RBAC-Authentication-and-Authorization-31887c56a8288099b6e5f85f39da64f8?pvs=21)",So that I can inform users about maintenance windows or other important platform news.,2,ADM,16,COULD,An internal communication system is implemented to notify users about operational events or maintenance windows. It is a user experience enhancement feature that facilitates change management and the dissemination of relevant technical information.,juan david julio serrano,Approved,System Administrator (https://app.notion.com/p/System-Administrator-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-016
Executive KPIs Dashboard,"I want to view an Executive Dashboard with key KPIs (MTBF, Costs, Availability) allowing filtering by date and area.",Real-Time Synchronization (https://app.notion.com/p/Real-Time-Synchronization-31887c56a828809e859be1c2fbc2c55f?pvs=21),"So that I can identify failure trends and ""Bad Actors"" to direct the maintenance budget where it is needed most.",8,ADM,17,SHOULD,"The executive dashboard synthesizes operational information for strategic budget and reliability decision-making. Based on ISO 14224 standards and MRO best practices (Wireman Vol 2), the system will allow the identification of trends and critical equipment units through efficient historical data processing.",juan david julio serrano,Approved,Plant Manager (https://app.notion.com/p/Plant-Manager-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-017
PDF Report Export,"I want to download a PDF report with key maintenance indicators (MTBF, MTTR, Availability).",,So that I can analyze monthly performance and present it in management meetings without depending on a system connection.,5,ADM,18,SHOULD,"The PDF export capability responds to the need for offline analysis and presentation of results in management meetings. Priority will be given to a professional document design including KPI tables and trend charts, ensuring strategic information is accessible offline.",juan david julio serrano,Approved,Plant Manager (https://app.notion.com/p/Plant-Manager-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-018
Data Synchronization with BI Tools,I want to export or synchronize KPI data directly with external tools (like Power BI or Excel).,,So that I can have management presentations always updated and perform deep analysis without having to manually copy and paste charts every month.,5,ADM,19,COULD,"This integration facilitates deep data analysis by allowing the consumption of KPIs from external business intelligence tools. Through a secure programmatic interface, the system ensures strategic data is available for use in broader corporate ecosystems. Revision (2026-05-18) - Maintained as COULD prioritizing OpenAPI specification design and ISO 27001 assurance.",juan david julio serrano,Approved,Plant Manager (https://app.notion.com/p/Plant-Manager-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-019
Mobile Manuals Consultation,I want to search and consult technical manuals and blueprints linked to the equipment hierarchy directly from the operational application.,"Offline-First Synchronization (https://app.notion.com/p/Offline-First-Synchronization-31887c56a828809a8488e98e3d269c2c?pvs=21), HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21)","So that I can consult the necessary information at the repair site without having to travel to the office or look for physical folders, ensuring the documentation is relevant to the component I am intervening on.",3,MTTO,20,SHOULD,"This functionality seeks to decentralize access to technical information, allowing operational personnel to consult manuals and blueprints directly at the point of work. Although it is a significant productivity improvement for the conceptual prototype, its production implementation requires a robust document management strategy and an integrated document viewer with offline operation capabilities.",juan david julio serrano,Approved,Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21),MTTO-020
Replenishment Monitor (Stock Alerts),"I want to receive automatic notifications when inventory levels fall below the defined critical point, with prioritization based on the technical classification of spare parts.","Real-Time Synchronization (https://app.notion.com/p/Real-Time-Synchronization-31887c56a828809e859be1c2fbc2c55f?pvs=21), HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21)",So that I can start purchasing processes in a timely manner and avoid interruptions in the availability of the plant's critical equipment.,5,INV,21,SHOULD,"This component implements intelligent inventory management based on ABC criticality. By automating the detection of critical stock levels, the system allows warehouse personnel to focus on high-impact spare parts (Class A), optimizing cash flow and reducing the risk of lost profits due to material unavailability.",juan david julio serrano,Approved,Warehouse Manager (https://app.notion.com/p/Warehouse-Manager-2ce87c56a828802a825ef3fc0ed3604e?pvs=21),INV-021
Optimization Suggestions (PMO),I want to see automatic suggestions on maintenance frequency based on the equipment unit's failure history.,,So that I can identify equipment being over-maintained and adjust the plan to reduce unnecessary costs.,5,ADM,22,WON'T,"Based on historical reliability analysis, the system will suggest maintenance plan optimizations to avoid over-maintenance. Although full implementation requires a robust historical database, it is defined as a key strategy for long-term cost efficiency. Revision (2026-05-18) - The implementation of predictive AI (Machine Learning) for maintenance suggestions would introduce critical schedule risk and require high-cost statistical computing infrastructure, deviating focus from AP6 core objectives.",juan david julio serrano,Approved,Maintenance Supervisor (https://app.notion.com/p/Maintenance-Supervisor-2ce87c56a82880338b89c23822132112?pvs=21),ADM-022
Usage or Telemetry-Based Preventive Maintenance Scheduling,I want to schedule preventive work orders based on accumulated usage limits (hour meters or cycle counters) linked to the equipment unit's telemetry.,"ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21), Real-Time Synchronization (https://app.notion.com/p/Real-Time-Synchronization-31887c56a828809e859be1c2fbc2c55f?pvs=21)",So that I can guarantee that critical equipment receives maintenance according to its actual wear and not just elapsed calendar time.,8,MTTO,23,MUST,"This story enables predictive/preventive maintenance based on the actual usage of the equipment unit. It consumes usage counter data (hour meters, cycles, gallons) that can be updated manually or through data ingestion from the auxiliary SCADA/IoT system.",juan david julio serrano,Approved,Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21),MTTO-023
General System Configuration,"I want to configure global system parameters (e.g., Company Logo, Time Zone, Units of Measurement).",,So that I can customize the platform according to the plant's identity and location without modifying the code.,2,ADM,24,WON'T,Allows the customization of operational and identity parameters of the system. The management of these global settings ensures the platform adapts to the regional environment and the organization's visual standards without requiring code-level changes. Revision (2026-05-18) - Dynamic parametrization of the graphical interface (Branding and custom UI/UX) requires front-end development load and state management (Theme Providers) that does not add direct value to the ISO 55001 management required for technical approval.,juan david julio serrano,Approved,System Administrator (https://app.notion.com/p/System-Administrator-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),ADM-024
Equipment Swap,I want to unlink a physical equipment unit from its functional location and install an identical replacement equipment from the inventory.,ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can preserve the accumulated reliability history in the operational position, record the change of location of the physical machine, and update the state of rotable spare parts in a traceable manner.",5,INV,25,MUST,"Equipment Swap is a fundamental process in industrial maintenance management according to the ISO 14224 standard. It allows decoupling the maintenance history of the operational position (Functional Location, Level 5) from the physical equipment unit (Equipment Unit, Level 6), recording transitions to warehouse, workshop, or disposal states in an auditable manner.",juan david julio serrano,In Review,Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),INV-025
Backlog Management via Objective Prioritization (RIME),I want the system to automatically assign a RIME priority to tasks by combining equipment criticality and the selected work class.,ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can eliminate subjectivity in scheduling, ensure ISO 55001 compliance, and focus resources on the highest-impact interventions.",5,MTTO,26,MUST,"The system will calculate the RIME Score by delegating the operation to the configurable prioritization engine under the industrial RIME standard (according to the MVP strategy defined in ADR-002: Criticality × Work Class, range 1 to 100). Being a direct operation based on equipment master data and work type selection, sequential dependency with the inventory module is eliminated.",juan david julio serrano,Approved,Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21),MTTO-026
Functional Locations Creation,"I want to define the hierarchical structure of the organization's functional locations, independently of the installed physical equipment units.",ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can have a master record of the operational positions that allows preserving the technical and maintenance history over time, even in the event of equipment replacement.",3,INV,27,MUST,"Functional Locations constitute the base architecture of the equipment tree according to ISO 14224. By decoupling the operational position from the physical equipment, the system allows the historical accumulation of reliability data on a specific process, guaranteeing long-term traceability and facilitating hierarchical navigation from the plant to the intervention point.",juan david julio serrano,Approved,Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21),INV-027
AI Documentation Consultation Assistant (RAG),I want to make natural language queries about technical procedures and manuals integrated into the system.,AI / LLM Framework (https://app.notion.com/p/AI-LLM-Framework-31887c56a8288057bac8e3328b4f1234?pvs=21),"So that I can get fast answers with explicit references to a specific page/section of the manual, ensuring I confirm the information at the source before acting.",5,MTTO,28,COULD,"This innovation functionality seeks to reduce technical information search time by using RAG (Retrieval Augmented Generation) architecture. By indexing the equipment's technical manuals, the system allows the technician to make contextual queries, ensuring each technical answer is backed by a direct reference to the manufacturer's documentation, thus minimizing operational risk due to interpretation errors.",juan david julio serrano,Approved,Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21),MTTO-028
Equipment Physical Boundaries Definition,"I want to define and validate the physical boundaries of each master equipment unit, specifying its start, end points, and integrated internal components.",ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can ensure each equipment unit has clear physical boundaries (start/end + included components), preventing duplication of maintenance or incorrect failure allocation.",3,MTTO,29,MUST,"This functionality is a mandatory ISO 14224 requirement for reliability data integrity. The precise definition of Boundaries ensures the equipment hierarchy is unique and consistent, eliminating ambiguities in the allocation of costs and technical responsibilities between adjacent equipment units.",juan david julio serrano,Approved,Reliability Engineer (https://app.notion.com/p/Reliability-Engineer-2ce87c56a8288027b527ea5bf3e149e3?pvs=21),MTTO-029
Equipment Warranty Management,I want to receive automatic notifications when an intervention is managed on an equipment unit with an active warranty.,"ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21), HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21)","So that I can leverage warranty coverage before performing internal maintenance, optimizing costs and avoiding redundant work on equipment still under warranty.",3,MTTO,30,SHOULD,"This functionality optimizes equipment return on investment (ROI) by automating the detection of active coverages. By integrating warranty dates with the work order creation flow, the system prevents unnecessary expenditure of internal resources and ensures compliance with external provider support contracts.",juan david julio serrano,Approved,Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21),MTTO-030
Part Master Catalog Management,"I want to create and manage technical spare parts information, including their classification, taxonomy, and inventory policy.",ISO 14224 Hierarchy Management and Validation (https://app.notion.com/p/ISO-14224-Hierarchy-Management-and-Validation-31887c56a828804aa78dd1f9efb140dd?pvs=21),"So that I can guarantee the existence of a single, standardized technical catalog that facilitates material planning and efficient control of critical stock.",5,INV,31,MUST,"The Part Master centralizes the technical knowledge of spare parts and operational supplies. Through the use of hierarchical product codes (Commodity Codes) and ABC classification, the system allows rigorous control of the technical supply chain, also implementing duplicate detection mechanisms to ensure the purity of the master catalog.",juan david julio serrano,Approved,Warehouse Manager (https://app.notion.com/p/Warehouse-Manager-2ce87c56a828802a825ef3fc0ed3604e?pvs=21),INV-031
Immutable Audit System,"I want to consult a chronological and unalterable record of all critical actions performed in the system (Creation, Modification, Deletion).",,So that I can reconstruct the sequence of events in the event of an incident and demonstrate regulatory compliance (ISO 55001 / ISO 14224).,5,ADM,32,MUST,"Information integrity is a pillar of the ISO 55001 standard. The system will implement an unalterable audit log that allows the reconstruction of any incident. Secure persistence techniques and database-level integrity protection will be used to ensure each critical action is traceable, chronological, and protected against manipulation.",juan david julio serrano,Approved,Plant Manager (https://app.notion.com/p/Plant-Manager-2ce87c56a828807cbd23c25007e9feb3?pvs=21),ADM-032
Base Visualization and 2D Equipment Inspection,I want to view the interactive plant layout and select specific equipment.,"Real-Time Synchronization (https://app.notion.com/p/Real-Time-Synchronization-31887c56a828809e859be1c2fbc2c55f?pvs=21), HPHMI Philosophy (https://app.notion.com/p/HPHMI-Philosophy-31887c56a82880579232cd9889f07d5c?pvs=21)","So that I can consult its operational status, technical data, and real-time telemetry readings from a single graphical interface.",5,VIS,33,MUST,"Constitutes the base canvas of the Digital Twin according to ADR-001. Allows loading the interactive map and linking geometries with physical equipment units for real-time telemetry reading, serving as a foundation for safety layers (LOTO and Permits). Requires plant connectivity to reflect SCADA data.",juan david julio serrano,Approved,Maintenance Supervisor (https://app.notion.com/p/Maintenance-Supervisor-2ce87c56a82880338b89c23822132112?pvs=21),VIS-033
